"dgp","dgp_label","family","p","mechanism","n","method","reps","n_valid","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","mse","mean_se","coverage95","mean_z","sd_z","mean_ci_length","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","mean_complete_rows","min_pair_count_min","mean_em_iter","mechanism_order","method_order","dgp_order"
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_lowgate45",100,"cat_fiml",200,200,0,0.678321197683783,0.653671900105827,-0.0246492975779563,0.0856260639958092,0.006054677049775,0.00790275159232399,0.104135151601392,0.96,-0.0195262329956353,0.877297667172858,0.408202293326695,11.2949999999988,4.00000000000489,0.623658333333333,22.72,25,NA,3,2,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_lowgate45",100,"normal_fiml",200,200,0,0.678321197683783,0.659129859427196,-0.0191913382565867,0.0792785943700532,0.00560584316820022,0.0066219775117437,0.0682867011098117,0.905,-0.0426762095952548,1.11913050945406,0.267678949596564,200.885,194.000000000003,0.623658333333333,22.72,25,73.215,3,3,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_lowgate45",100,"listwise",200,200,0,0.678321197683783,0.651269723361475,-0.0270514743223084,0.114596765096506,0.0081032149701781,0.0137985387407413,0.102940322460182,0.92,0.0522441181553731,1.16037875685517,0.403518649157793,0.120000000000005,0,0.623658333333333,22.72,25,NA,3,4,2
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mcar30",100,"pairwise",200,200,0,0.716986543977516,0.699750394354908,-0.0172361496226073,0.0597053877108346,0.00422180845237031,0.00384399450890548,0.0551577108866339,0.955,-0.127018630480571,1.01320117836225,0.216214253614951,0.120000000000289,0,0.747375,16.3,33,NA,1,1,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mcar30",100,"cat_fiml",200,200,0,0.716986543977516,0.674574582759835,-0.0424119612176807,0.0678207445986999,0.00479565084108616,0.00637542958526252,0.0597315496092733,0.935,-0.530412376305756,0.995584125206404,0.234143371949886,3.38500000000195,2.9999999999859,0.747375,16.3,33,NA,1,2,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mcar30",100,"normal_fiml",200,200,0,0.716986543977516,0.70053041327704,-0.0164561307004758,0.0610349937683891,0.00431582579833066,0.0039774483496169,0.0542515719834873,0.955,-0.0936858290779145,1.05816635199221,0.212662254384635,158.405,155.000000000001,0.747375,16.3,33,54.835,1,3,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mcar30",100,"listwise",200,200,0,0.716986543977516,0.669731982276044,-0.0472545617014712,0.141348837275768,0.00999487213505296,0.0221125899318137,0.121098991838911,0.92,0.0639445692435787,1.24906734149266,0.474699325136751,0.0999999999997669,0,0.747375,16.3,33,NA,1,4,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_linear30",100,"pairwise",200,200,0,0.716986543977516,0.738735827013898,0.0217492830363821,0.0499025352265586,0.00352864210571002,0.00295084301952439,0.0468410249288072,0.88,0.67792395705828,1.2305777443092,0.18361344371881,0.139999999999816,0,0.749983333333333,29.36,36,NA,2,1,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_linear30",100,"cat_fiml",200,200,0,0.716986543977516,0.695396063875619,-0.0215904801018965,0.0585178895371059,0.00413783965124129,0.00387337050992793,0.0586975273886339,0.945,-0.165884486975988,1.02312007993796,0.230090079326552,4.84500000000082,3.00000000004275,0.749983333333333,29.36,36,NA,2,2,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_linear30",100,"normal_fiml",200,200,0,0.716986543977516,0.712647658392519,-0.00433888558499626,0.0489832070620095,0.00346363578778117,0.00240618372932899,0.0471725287777288,0.95,0.0990703555065067,1.11536371325091,0.184912914928055,138.664999999999,135.000000000019,0.749983333333333,29.36,36,37.265,2,3,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_linear30",100,"listwise",200,200,0,0.716986543977516,0.682930875014413,-0.0340556689631031,0.0886413432184395,0.00626788948832428,0.00897778987745581,0.0777412356212356,0.945,-0.178800441122382,1.01188708926815,0.304740043862528,0.129999999999484,0,0.749983333333333,29.36,36,NA,2,4,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_lowgate45",100,"pairwise",200,200,0,0.716986543977516,0.729580597654981,0.0125940536774658,0.0609111226512604,0.00430706678763917,0.00385022422635459,0.0530538395905645,0.865,0.477791544502657,1.2097884824553,0.207967229678143,0.149999999999864,0,0.625075,23.2,25,NA,3,1,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_lowgate45",100,"cat_fiml",200,200,0,0.716986543977516,0.682678523702125,-0.0343080202753908,0.0807201483884332,0.00570777643038455,0.00766020389928805,0.0831637871917505,0.97,-0.16647307110829,0.979697871473383,0.325996055427569,15.310000000002,6.00000000002865,0.625075,23.2,25,NA,3,2,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_lowgate45",100,"normal_fiml",200,200,0,0.716986543977516,0.713116158335446,-0.00387038564206995,0.058442596010256,0.00413251559489979,0.00341343922829424,0.0517347852992674,0.905,0.163647201092752,1.13657181329441,0.202796631868953,200.980000000001,192.000000000007,0.625075,23.2,25,68.66,3,3,3
"class_skew","Latent class, skewed ordinal margins","latent_class_skewed",6,"mar_lowgate45",100,"listwise",200,200,0,0.716986543977516,0.646777143824745,-0.0702094001527704,0.108685915109536,0.00768525475934186,0.0166829248722932,0.0994232239162516,0.975,-0.425851767997854,0.977508017953468,0.389731876205429,0.130000000000621,0,0.625075,23.2,25,NA,3,4,3
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mcar30",100,"pairwise",200,200,0,0.856068874340184,0.851627119143815,-0.00444175519636906,0.0261118213267489,0.00184638459292757,0.000698147266159532,0.0252898792969165,0.945,-0.0204916214979278,1.03879321512163,0.099134505190643,0.190000000000339,0,0.749025,16.315,33,NA,1,1,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mcar30",100,"cat_fiml",200,200,0,0.856068874340184,0.841191397525675,-0.014877476814509,0.0247647856273927,0.00175113478517605,0.000831567450501116,0.0295882618662846,0.965,-0.409562284388873,0.887089149762034,0.115983855246115,2.59999999999934,2.00000000000955,0.749025,16.315,33,NA,1,2,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mcar30",100,"normal_fiml",200,200,0,0.856068874340184,0.853029090011851,-0.00303978432833352,0.0227269253587914,0.00160703630367219,0.000523170859345539,0.0243586560362797,0.965,0.0211903386059488,0.955845101301504,0.0954841770858146,169.819999999999,159.00000000002,0.749025,16.315,33,58.47,1,3,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mcar30",100,"listwise",200,200,0,0.856068874340184,0.842956457915254,-0.0131124164249306,0.0599914970264251,0.00424203943609178,0.00375292028139501,0.0536274410582018,0.92,0.142606051282905,1.21065584570215,0.21021570611424,0.165000000000077,0,0.749025,16.315,33,NA,1,4,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_linear30",100,"pairwise",200,200,0,0.856068874340184,0.812491128564739,-0.043577745775445,0.0371522839741291,0.0026270631934675,0.00327241067034118,0.0331566686746836,0.825,-1.162981458038,0.932977384127961,0.129971752899415,0.130000000000052,0,0.75025,32.51,41,NA,2,1,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_linear30",100,"cat_fiml",200,200,0,0.856068874340184,0.844479870324522,-0.0115890040156622,0.0257362870746043,0.00181983031130164,0.000793349704099548,0.0285526698008687,0.96,-0.26945894931986,0.922535280336679,0.111924408944334,4.71500000000134,2.9999999999859,0.75025,32.51,41,NA,2,2,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_linear30",100,"normal_fiml",200,200,0,0.856068874340184,0.826999404665369,-0.0290694696748153,0.028644909168783,0.00202550095197192,0.00166146223435639,0.0274437942586576,0.885,-0.90815557960657,0.897183587961812,0.107577696692192,137.865000000003,134.999999999991,0.75025,32.51,41,35.6,2,3,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_linear30",100,"listwise",200,200,0,0.856068874340184,0.705623329562604,-0.15044554477758,0.0878114000607902,0.00620920364484695,0.0303061497141558,0.0829597253335584,0.685,-1.69498269051405,0.584695822200504,0.325196147642219,0.109999999999388,0,0.75025,32.51,41,NA,2,4,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_lowgate45",100,"pairwise",200,200,0,0.856068874340184,0.739788401138155,-0.116280473202029,0.052411594282769,0.0037060593730144,0.0162543887872731,0.0479907761102882,0.265,-2.31898288711532,0.661845727070834,0.18812038553258,0.144999999999698,0,0.625133333333333,21.94,23,NA,3,1,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_lowgate45",100,"cat_fiml",200,200,0,0.856068874340184,0.826727922119531,-0.029340952220653,0.0399983582906207,0.00282831103836271,0.00245276079982979,0.0441144885597983,0.98,-0.490465914230994,0.852942834577669,0.172925617547218,9.80000000000018,3.99999999996226,0.625133333333333,21.94,23,NA,3,2,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_lowgate45",100,"normal_fiml",200,200,0,0.856068874340184,0.808609663408372,-0.0474592109318117,0.0353579479838049,0.00250018447881897,0.00349631026546752,0.0354355053071285,0.845,-1.19698262743719,0.746090800260642,0.1389046283519,217.220000000002,211.500000000001,0.625133333333333,21.94,23,85.035,3,3,4
"anchor_heterocov","Anchor-group mixture, heterogeneous target covariance","anchor_heterocov",6,"mar_lowgate45",100,"listwise",200,200,0,0.856068874340184,0.680704700919434,-0.17536417342075,0.118608605130879,0.00838689489951217,0.0447502545245802,0.101264115363816,0.705,-1.6146970296306,0.577333475008801,0.396948038078775,0.134999999999366,0,0.625133333333333,21.94,23,NA,3,4,4
