"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"fiml","Brennan-Prediger",0.67650255833956,0.655138888888889,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"gwet","Conger",0.811315148065525,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"gwet","Fleiss",0.810835005399053,0.64306022310533,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"gwet","Brennan-Prediger",0.815074906367041,0.655138888888889,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"available","Conger",0.717026199737969,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"available","Fleiss",0.716652539549109,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"available","Brennan-Prediger",0.721283783783784,0.625486111111111,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"ipw","Conger",0.718104993185729,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"ipw","Fleiss",0.717781423604372,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"ipw","Brennan-Prediger",0.722235750549946,0.625486111111111,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"fiml","Conger",0.61231722722247,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"fiml","Fleiss",0.611980105110009,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"fiml","Brennan-Prediger",0.622068747445178,0.625486111111111,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"gwet","Conger",0.717138869292659,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"gwet","Fleiss",0.716814190758337,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,1,260201,"gwet","Brennan-Prediger",0.721283783783784,0.625486111111111,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"available","Conger",0.707395739904549,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"available","Fleiss",0.707021822702661,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"available","Brennan-Prediger",0.711449676823638,0.625486111111111,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"ipw","Conger",0.710465484447981,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"ipw","Fleiss",0.710143402330645,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"ipw","Brennan-Prediger",0.714372704914884,0.625486111111111,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"fiml","Conger",0.617151851724947,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"fiml","Fleiss",0.61684898462929,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"fiml","Brennan-Prediger",0.624048284776755,0.625486111111111,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"gwet","Conger",0.707502470979358,0.614124972206874,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"gwet","Fleiss",0.7071770927657,0.614091289171492,""
"dawid_skene","C","Difficulty + MAR",120,2,260202,"gwet","Brennan-Prediger",0.711449676823638,0.625486111111111,""
