"phase","profile","profile_label","C","R","n","prune_tol","coefficient","reps","n_valid","failures","truth","mean_estimate","bias","sd","mc_se_bias","rmse","mean_se","mean_observed_fraction","bias_times_n"
"scaling","p2","P2: C = 3, R = 4",3,4,8000,1e-09,"Brennan-Prediger",8,8,0,0.856,0.858239205811842,0.00223920581184139,0.00487749946799185,0.00172445647452541,0.00508235118773904,0.00444645191223634,0.68704296875,17.9136464947312
"scaling","p2","P2: C = 3, R = 4",3,4,32000,1e-09,"Brennan-Prediger",8,8,0,0.856,0.854393196411831,-0.00160680358816918,0.00235917190626508,0.000834093226452417,0.00272979822401766,0.0022399210965598,0.687173828125,-51.4177148214139
"scaling","p2","P2: C = 3, R = 4",3,4,500,1e-09,"Conger",8,8,0,0.8464,0.848502365438303,0.00210236543830303,0.0219145352673856,0.00774795824706004,0.0206066964704067,0.0338655923706997,0.68825,1.05118271915151
"scaling","p2","P2: C = 3, R = 4",3,4,2000,1e-09,"Conger",8,8,0,0.8464,0.847993905370663,0.00159390537066252,0.00498986958874946,0.00176418531172064,0.00493223914964215,0.00954364601282046,0.686109375,3.18781074132504
"scaling","p2","P2: C = 3, R = 4",3,4,8000,1e-09,"Conger",8,8,0,0.8464,0.848669815063353,0.00226981506335273,0.00547561889619825,0.00193592362634749,0.00560238006843305,0.00474295760530221,0.68704296875,18.1585205068219
"scaling","p2","P2: C = 3, R = 4",3,4,32000,1e-09,"Conger",8,8,0,0.8464,0.844727824802931,-0.00167217519706869,0.00256398484595463,0.000906505535717034,0.00292377083467414,0.00238684072468811,0.687173828125,-53.5096063061982
"scaling","p2","P2: C = 3, R = 4",3,4,500,1e-09,"Fleiss",8,8,0,0.8464,0.848477309376167,0.00207730937616664,0.0219320557133747,0.0077541526601442,0.020620460678221,0.0338836184118458,0.68825,1.03865468808332
"scaling","p2","P2: C = 3, R = 4",3,4,2000,1e-09,"Fleiss",8,8,0,0.8464,0.847990828125842,0.00159082812584223,0.00499081700131659,0.00176452027264604,0.00493208441473,0.0095442977644387,0.686109375,3.18165625168446
"scaling","p2","P2: C = 3, R = 4",3,4,8000,1e-09,"Fleiss",8,8,0,0.8464,0.848668695437573,0.00226869543757288,0.00547516554049635,0.00193576334090194,0.00560153880396475,0.00474306372634566,0.68704296875,18.1495635005831
"scaling","p2","P2: C = 3, R = 4",3,4,32000,1e-09,"Fleiss",8,8,0,0.8464,0.844727529892773,-0.00167247010722703,0.00256396056816025,0.000906496952220512,0.00292392088303763,0.00238685466279537,0.687173828125,-53.5190434312649
