"phase","profile","profile_label","C","R","n","rep","seed","prune_tol","coefficient","estimate","se","truth","error","observed_fraction"
"scaling","p1","P1: C = 5, R = 6",5,6,32000,4,905004,1e-09,"Conger",0.846867524803989,0.00244577642695257,0.8464,"",0.690786458333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,4,905004,1e-09,"Fleiss",0.846867432157311,0.00244790215797009,0.8464,"",0.690786458333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,4,905004,1e-09,"Brennan-Prediger",0.850791601770935,0.00200789282610775,0.850228148148148,"",0.690786458333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,5,905005,1e-09,"Conger",0.845482460851374,0.0209539957395985,0.8464,"",0.693020833333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,5,905005,1e-09,"Fleiss",0.845482347899921,0.0209545524620157,0.8464,"",0.693020833333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,5,905005,1e-09,"Brennan-Prediger",0.84903337511361,0.0209311425912319,0.850228148148148,"",0.693020833333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,6,905006,1e-09,"Conger",0.841614024566097,0.002180003133888,0.8464,"",0.691208333333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,6,905006,1e-09,"Fleiss",0.841613823298172,0.00218006781722995,0.8464,"",0.691208333333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,6,905006,1e-09,"Brennan-Prediger",0.845445289692897,0.00214070064571556,0.850228148148148,"",0.691208333333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,7,905007,1e-09,"Conger",0.844591945954096,0.0125726509513832,0.8464,"",0.692328125
"scaling","p1","P1: C = 5, R = 6",5,6,32000,7,905007,1e-09,"Fleiss",0.844591738020988,0.0125723564942473,0.8464,"",0.692328125
"scaling","p1","P1: C = 5, R = 6",5,6,32000,7,905007,1e-09,"Brennan-Prediger",0.848530848347127,0.0120371247288695,0.850228148148148,"",0.692328125
"scaling","p1","P1: C = 5, R = 6",5,6,32000,8,905008,1e-09,"Conger",0.843086649090571,0.00976861094324009,0.8464,"",0.69028125
"scaling","p1","P1: C = 5, R = 6",5,6,32000,8,905008,1e-09,"Fleiss",0.84308651328366,0.00976612504627552,0.8464,"",0.69028125
"scaling","p1","P1: C = 5, R = 6",5,6,32000,8,905008,1e-09,"Brennan-Prediger",0.847063232265768,0.0102214943521183,0.850228148148148,"",0.69028125
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1005001,1e-12,"Conger",0.836000806861849,0.0455543201933851,0.8464,"",0.69475
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1005001,1e-12,"Fleiss",0.83599618371736,0.0455570948405058,0.8464,"",0.69475
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1005001,1e-12,"Brennan-Prediger",0.840091263256081,0.0451238169138441,0.850228148148148,"",0.69475
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1005002,1e-12,"Conger",0.829941272110826,0.0494895357936814,0.8464,"",0.6835
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1005002,1e-12,"Fleiss",0.829936646383635,0.0494835642630261,0.8464,"",0.6835
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1005002,1e-12,"Brennan-Prediger",0.834130296330294,0.0478504297604598,0.850228148148148,"",0.6835
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1005003,1e-12,"Conger",0.828912634252734,0.0361002174147125,0.8464,"",0.692333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1005003,1e-12,"Fleiss",0.828906619021916,0.0360948448085195,0.8464,"",0.692333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1005003,1e-12,"Brennan-Prediger",0.834021808994465,0.0357584530969507,0.850228148148148,"",0.692333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1005004,1e-12,"Conger",0.844400123934707,0.0811974624583221,0.8464,"",0.694833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1005004,1e-12,"Fleiss",0.844395519790842,0.0811946923476647,0.8464,"",0.694833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1005004,1e-12,"Brennan-Prediger",0.847982348954031,0.0813437365516541,0.850228148148148,"",0.694833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1005005,1e-12,"Conger",0.839201975113747,0.0480819863003243,0.8464,"",0.690916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1005005,1e-12,"Fleiss",0.839197762813337,0.0480990200232718,0.8464,"",0.690916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1005005,1e-12,"Brennan-Prediger",0.843744911594107,0.0459388102383283,0.850228148148148,"",0.690916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1005006,1e-12,"Conger",0.83970479522705,0.0586163583219372,0.8464,"",0.689416666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1005006,1e-12,"Fleiss",0.839700388973101,0.0586088298203885,0.8464,"",0.689416666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1005006,1e-12,"Brennan-Prediger",0.843877907093929,0.0572605387697996,0.850228148148148,"",0.689416666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1005007,1e-12,"Conger",0.842097756521731,0.0540750063324182,0.8464,"",0.687083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1005007,1e-12,"Fleiss",0.842093046039396,0.0540644021546111,0.8464,"",0.687083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1005007,1e-12,"Brennan-Prediger",0.845672678802118,0.0525666566065837,0.850228148148148,"",0.687083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1005008,1e-12,"Conger",0.842002010396785,0.0561574455323928,0.8464,"",0.696666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1005008,1e-12,"Fleiss",0.84199732447859,0.0561869936038035,0.8464,"",0.696666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1005008,1e-12,"Brennan-Prediger",0.846354283455346,0.0567179964254398,0.850228148148148,"",0.696666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1105001,1e-09,"Conger",0.833602960149489,0.0622540442976862,0.8464,"",0.695666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1105001,1e-09,"Fleiss",0.833597247388599,0.0622702681014087,0.8464,"",0.695666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1105001,1e-09,"Brennan-Prediger",0.838189200833862,0.0603188004862879,0.850228148148148,"",0.695666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1105002,1e-09,"Conger",0.840681666151549,0.0524854469745716,0.8464,"",0.691833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1105002,1e-09,"Fleiss",0.840676339536,0.052502900052657,0.8464,"",0.691833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1105002,1e-09,"Brennan-Prediger",0.845442033096769,0.0514071504507774,0.850228148148148,"",0.691833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1105003,1e-09,"Conger",0.828000685583603,0.0453767957296948,0.8464,"",0.689083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1105003,1e-09,"Fleiss",0.827995817912913,0.0453863909019914,0.8464,"",0.689083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1105003,1e-09,"Brennan-Prediger",0.831842373115826,0.0436506360111751,0.850228148148148,"",0.689083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1105004,1e-09,"Conger",0.832429165924736,0.0395600656248693,0.8464,"",0.695916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1105004,1e-09,"Fleiss",0.832426004691094,0.039545755079836,0.8464,"",0.695916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1105004,1e-09,"Brennan-Prediger",0.836924075074524,0.0381284877574474,0.850228148148148,"",0.695916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1105005,1e-09,"Conger",0.836223888123571,0.0831714151715826,0.8464,"",0.688833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1105005,1e-09,"Fleiss",0.836216959283087,0.0831005124685454,0.8464,"",0.688833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1105005,1e-09,"Brennan-Prediger",0.83953730438283,0.0839541522162593,0.850228148148148,"",0.688833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1105006,1e-09,"Conger",0.841299904914805,0.0560447900424286,0.8464,"",0.691666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1105006,1e-09,"Fleiss",0.841294493122277,0.0560726629064839,0.8464,"",0.691666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1105006,1e-09,"Brennan-Prediger",0.844538874480305,0.0561441588973776,0.850228148148148,"",0.691666666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1105007,1e-09,"Conger",0.837398508559169,0.0653097471623483,0.8464,"",0.69325
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1105007,1e-09,"Fleiss",0.837394235581811,0.065317804181506,0.8464,"",0.69325
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1105007,1e-09,"Brennan-Prediger",0.841000462637641,0.0635230913389786,0.850228148148148,"",0.69325
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1105008,1e-09,"Conger",0.825274701264118,0.0647691497793212,0.8464,"",0.690833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1105008,1e-09,"Fleiss",0.825268385770572,0.0647792987387488,0.8464,"",0.690833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1105008,1e-09,"Brennan-Prediger",0.829812089149808,0.0643484634239022,0.850228148148148,"",0.690833333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1205001,1e-06,"Conger",0.838853205434715,0.023279185430509,0.8464,"",0.693916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1205001,1e-06,"Fleiss",0.838845387011209,0.0232627854209278,0.8464,"",0.693916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,1,1205001,1e-06,"Brennan-Prediger",0.843449719974302,0.0224285248775597,0.850228148148148,"",0.693916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1205002,1e-06,"Conger",0.829607952271027,0.0455344229354392,0.8464,"",0.689916666666667
