"dgp","dgp_label","family","p","dist","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,3,6181803,"fiml_sandwich",0.9,0.893733518107671,-0.0062664818923287,0.0142020492268493,37.9999999999998,30,0.866666666666667,61,79,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,3,6181803,"fiml_normal",0.9,0.893733518107671,-0.0062664818923287,0.0136807880779152,38.0000000000003,30,0.866666666666667,61,79,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,3,6181803,"listwise",0.9,0.902415315971216,0.00241531597121625,0.0216832662017656,4.99999999999989,2,0.866666666666667,61,79,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,4,6181804,"pairwise",0.9,0.878329655059185,-0.0216703449408149,NA,0,NA,0.845833333333333,55,76,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,4,6181804,"fiml_sandwich",0.9,0.878266264741867,-0.0217337352581327,0.0164171055421239,40.9999999999999,25,0.845833333333333,55,76,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,4,6181804,"fiml_normal",0.9,0.878266264741867,-0.0217337352581327,0.0160407616123161,40.9999999999995,25,0.845833333333333,55,76,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,4,6181804,"listwise",0.9,0.863090145900875,-0.0369098540991247,0.0242715378246836,14.0000000000002,2,0.845833333333333,55,76,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,1,7181801,"pairwise",0.813977389516958,0.791512226444117,-0.0224651630728413,NA,1.00000000000033,NA,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,1,7181801,"fiml_sandwich",0.813977389516958,0.791512226444117,-0.0224651630728411,0.0280286113747371,19.0000000000001,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,1,7181801,"fiml_normal",0.813977389516958,0.791512226444117,-0.0224651630728411,0.0258519674992272,17.9999999999998,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,1,7181801,"listwise",0.813977389516958,0.791512226444117,-0.0224651630728411,0.0280286113747371,19.0000000000001,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,2,7181802,"pairwise",0.813977389516958,0.808360914605169,-0.00561647491178863,NA,1.00000000000033,NA,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,2,7181802,"fiml_sandwich",0.813977389516958,0.808360914605169,-0.00561647491178863,0.0247331798944627,14.9999999999997,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,2,7181802,"fiml_normal",0.813977389516958,0.808360914605169,-0.00561647491178863,0.0239821765061721,19.0000000000001,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,2,7181802,"listwise",0.813977389516958,0.808360914605169,-0.00561647491178863,0.0247331798944627,16,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,3,7181803,"pairwise",0.813977389516958,0.808738143558597,-0.00523924595836134,NA,0,NA,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,3,7181803,"fiml_sandwich",0.813977389516958,0.808738143558597,-0.00523924595836134,0.0247760344094274,19.9999999999996,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,3,7181803,"fiml_normal",0.813977389516958,0.808738143558597,-0.00523924595836134,0.0233655035492001,16,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,3,7181803,"listwise",0.813977389516958,0.808738143558597,-0.00523924595836134,0.0247760344094274,20.0000000000005,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,4,7181804,"pairwise",0.813977389516958,0.807207646986611,-0.00676974253034657,NA,0,NA,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,4,7181804,"fiml_sandwich",0.813977389516958,0.807207646986611,-0.00676974253034657,0.0251030132667149,14.9999999999997,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,4,7181804,"fiml_normal",0.813977389516958,0.807207646986611,-0.00676974253034657,0.0236681054770827,18.0000000000007,2,1,160,160,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","complete",160,4,7181804,"listwise",0.813977389516958,0.807207646986611,-0.00676974253034657,0.0251030132667149,14.9999999999997,2,1,160,160,""
