"p1_2","p1_3","p1_4","p1_5","p1_6","p2_3","p2_4","p2_5","p2_6","p3_4","p3_5","p3_6","p4_5","p4_6","p5_6","cell","b","wald_stat","wald_df","p_chi","reject_05"
0.829534385349698,0.843065100925375,0.840501743667379,0.833487312807511,0.860533726699745,0.83384179559817,0.817682113799015,0.832499432659369,0.848915700356667,0.833923223523006,0.837836084714429,0.865044319445494,0.832527484400746,0.851652056641942,0.855290731639342,"null",35,13.6683688105518,14,0.474698718897846,FALSE
0.827606327113016,0.829689396036021,0.845715136941116,0.838461090308195,0.820291233912101,0.826638004150019,0.832025979981763,0.822199105157287,0.811997224973124,0.844776183313975,0.829586908014208,0.811446023104501,0.853552808857126,0.83532449043554,0.817511491486514,"null",36,13.3053584377585,14,0.502632885831448,FALSE
0.850654675594802,0.864223412228583,0.812775748761335,0.810685965880202,0.8093058733791,0.888216369485795,0.833895185138793,0.837028264731287,0.83828888074344,0.842074595248079,0.850616546254549,0.84907531680708,0.783099080340101,0.79535895654609,0.790479158048555,"null",37,27.3128814252345,14,0.0175267814603619,TRUE
0.805262840310043,0.811477470191583,0.81399318339725,0.814906555029914,0.805552969014455,0.835436997054322,0.846115797862109,0.816889860617655,0.821243922293358,0.838571991419691,0.836551453602406,0.819071011886486,0.822757887274016,0.824376536705304,0.814312163099458,"null",38,11.2163002432698,14,0.66896647119733,FALSE
0.832202050382688,0.856617249215453,0.864844408883507,0.856789269463149,0.854310782081305,0.842545336084265,0.837208671351439,0.831960104076323,0.834829793456011,0.872554123823159,0.864517737337828,0.856545840370707,0.861947994997645,0.867481609692774,0.854095853620314,"null",39,14.4194142763615,14,0.41895451769055,FALSE
0.814817796814866,0.838765156075329,0.819149625342806,0.825216194122962,0.84353502926974,0.844246799003179,0.819358317605824,0.822690272143567,0.832915622389307,0.851507068263551,0.852035984848485,0.870462825529618,0.832436055436639,0.842727218495279,0.848715704390486,"null",40,16.8415700681232,14,0.26471900661385,FALSE
0.854889420363851,0.846652174848804,0.862812505043658,0.825840920417339,0.823450105929936,0.867589039615198,0.875709267765469,0.849328705572147,0.844203287847856,0.875529001742594,0.838321997908964,0.83866804336603,0.857226750857986,0.852123506447415,0.833935095406966,"null",41,11.8761321954195,14,0.61624973497028,FALSE
0.847274115689857,0.841712560927019,0.856230638607228,0.850130522690239,0.829455014022588,0.830050381838416,0.847443867515896,0.849447884332178,0.820631702531267,0.833684141646582,0.824694036310248,0.801396211836786,0.847531923003621,0.829626584743196,0.820756407958416,"null",42,11.5359625121251,14,0.643513608765224,FALSE
0.82591834767052,0.828002300469231,0.817803785394294,0.833896833859327,0.854797334724411,0.818194457069829,0.818744968840128,0.824065682145332,0.850235344458708,0.820790447863394,0.834196226092165,0.852390997461125,0.831959670320877,0.852800274059126,0.860824880229104,"null",43,10.8373045375918,14,0.698767171405031,FALSE
0.837984850255506,0.818832857325547,0.799028992712157,0.824812868291129,0.782868884581572,0.851047983828067,0.823077085577878,0.843668853536264,0.825485467698946,0.811964363274257,0.821946786006612,0.795766802822131,0.802152579930358,0.776111933497342,0.799226493649217,"null",44,27.1277863983672,14,0.0185300934536158,TRUE
0.8469552142627,0.81648405030496,0.814016172506739,0.806395405117615,0.838895899900652,0.848297683288906,0.862051057338072,0.854310782081305,0.876068905688437,0.834241833013592,0.823639856307181,0.851021989154401,0.826629680998613,0.856655253179278,0.840851954553792,"null",45,21.6407092997936,14,0.0863044964753221,FALSE
