"marg","b","kappa_F","kappa_BP","delta","se","z","rej_05"
"uniform",177,0.742618456095138,0.743333333333333,-0.000714877238195855,0.000556908000487318,-1.2836541000853,FALSE
"uniform",178,0.707768053430967,0.708666666666667,-0.00089861323569973,0.000641019308567603,-1.40185049606031,FALSE
"uniform",179,0.734729462775624,0.7355,-0.000770537224376477,0.000512234032412312,-1.50426792368268,FALSE
"uniform",180,0.716571082854719,0.716833333333333,-0.000262250478614168,0.000334316199704132,-0.784438441350608,FALSE
"uniform",181,0.701117267992904,0.701166666666667,-4.9398673762302e-05,0.000147893471252452,-0.334015243160933,FALSE
"uniform",182,0.702439197964666,0.702666666666667,-0.000227468702000411,0.000321022944859353,-0.708574591451928,FALSE
"uniform",183,0.735270528426843,0.735666666666667,-0.00039613823982354,0.000401445376811323,-0.986779927496147,FALSE
"uniform",184,0.722402239489033,0.723,-0.000597760510967049,0.000528490132364659,-1.13107222701103,FALSE
"uniform",185,0.69784896844358,0.698333333333333,-0.000484364889753341,0.000456030921654585,-1.06213168176393,FALSE
"uniform",186,0.734610380536536,0.735166666666667,-0.000556286130131034,0.000479871586017955,-1.15923956812525,FALSE
"uniform",187,0.74638009414451,0.7465,-0.000119905855490487,0.000221801727418705,-0.540599286064783,FALSE
"uniform",188,0.715042722724772,0.7155,-0.000457277275227597,0.000447666480399039,-1.02146864965184,FALSE
"uniform",189,0.727123931353761,0.727833333333333,-0.000709401979572255,0.000535257676084275,-1.32534667183467,FALSE
"uniform",190,0.741682157104367,0.742333333333333,-0.000651176228966044,0.00051369078992726,-1.26764240616082,FALSE
"uniform",191,0.717715755448194,0.718,-0.000284244551805646,0.000347806543970014,-0.81724900446425,FALSE
"uniform",192,0.709699619745431,0.71,-0.00030038025456891,0.00035585992739194,-0.844096880394389,FALSE
"uniform",193,0.745455546940918,0.745833333333333,-0.000377786392415147,0.000396478468072822,-0.952854752116722,FALSE
"uniform",194,0.761269113426386,0.761666666666667,-0.000397553240280235,0.000397068212445635,-1.00122152269912,FALSE
"uniform",195,0.739832278876211,0.740166666666667,-0.00033438779045547,0.000371562173966506,-0.899951108816618,FALSE
"uniform",196,0.722733901563862,0.723,-0.000266098436138007,0.000329109059566428,-0.808541814341325,FALSE
"uniform",197,0.756361983791953,0.756666666666667,-0.000304682874713524,0.000356935770016204,-0.853607008061121,FALSE
"uniform",198,0.703631103047988,0.704,-0.000368896952011699,0.00042670649527523,-0.864521529661171,FALSE
"uniform",199,0.711601354113054,0.712666666666667,-0.00106531255361242,0.000684629704044215,-1.55604197030811,FALSE
"uniform",200,0.722064395652913,0.722666666666667,-0.000602271013753319,0.000480586904660332,-1.25319896966188,FALSE
"skewed",1,0.710418964581473,0.724333333333333,-0.0139143687518601,0.00231905054138434,-6.00002824585016,TRUE
"skewed",2,0.697985029894103,0.716166666666667,-0.018181636772564,0.00258033112912746,-7.0462416886441,TRUE
"skewed",3,0.697150655629098,0.714166666666667,-0.0170160110375686,0.00238987808230056,-7.12003309440309,TRUE
"skewed",4,0.726501671817815,0.7405,-0.0139983281821846,0.0023105864241033,-6.05834433897756,TRUE
"skewed",5,0.714112617587466,0.7305,-0.0163873824125336,0.00255337126816439,-6.41793953619381,TRUE
"skewed",6,0.710125585554325,0.7285,-0.0183744144456753,0.00285556976917483,-6.43458781642199,TRUE
"skewed",7,0.710166660097506,0.728333333333333,-0.0181666732358273,0.00267311253368885,-6.79607499006321,TRUE
"skewed",8,0.716530711981544,0.733666666666667,-0.0171359546851224,0.00245601824851377,-6.97712840508902,TRUE
"skewed",9,0.704104799383959,0.7275,-0.0233952006160412,0.00306362953370752,-7.63643265565759,TRUE
"skewed",10,0.698737892995432,0.720166666666667,-0.0214287736712349,0.0026831731332226,-7.98635518741126,TRUE
"skewed",11,0.7160233849762,0.7355,-0.0194766150238004,0.00255001251140936,-7.63785077000894,TRUE
"skewed",12,0.680952117510379,0.698833333333333,-0.0178812158229545,0.00278117955117689,-6.42936405000818,TRUE
"skewed",13,0.686847972956843,0.7085,-0.0216520270431574,0.00291364534690675,-7.43125002023466,TRUE
"skewed",14,0.716850403539734,0.740666666666667,-0.0238162631269329,0.00287629922643889,-8.28017575779814,TRUE
