"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad"
37,0.692499750818764,0.648947285078174,0.605075951909579,0.0127040275772498,0.0160978556304386,0.0241876366282219,0.815411554801227,0.554668101271549,0.926598328630024,0.0874237989091848,0.0201384410329108
38,0.689942256824627,0.674287681756071,0.650067154378827,0.0140718307637683,0.0171277278626194,0.0238778715039909,0.861835308304415,0.647499678263584,0.936852727948437,0.0398751024458002,0.0182494502603629
39,0.715185172900626,0.682656624511851,0.647703025628322,0.0136138154405124,0.0183311659170259,0.0271554687947447,0.856308040168476,0.665624660355028,0.95006282229352,0.0674821472723046,0.0207510603781233
40,0.722407681749541,0.698344748973887,0.674343078550058,0.013533548511918,0.0165965320578178,0.0223095402604259,0.880981881869939,0.661362271269037,0.929691298119057,0.0480646031994827,0.0167781388840862
41,0.701509907284882,0.683796733604783,0.66968024859982,0.0142737421766679,0.0174431467696589,0.0236151612141848,0.885643026897984,0.706316414818206,0.947491160339342,0.0318296586850622,0.016889343101557
42,0.698020812079168,0.680171500638474,0.663475829676747,0.012394525808771,0.0160878772017201,0.0231249080064901,0.831689460068143,0.621163245031876,0.944784167065036,0.0345449824024202,0.0182292951803691
43,0.721019386192415,0.70167875882821,0.683136830515514,0.0137073134983117,0.0163226803808571,0.0228777393971771,0.820836534164652,0.560571494488467,0.925776265915611,0.0378825556769012,0.0189657465736418
44,0.727477647181436,0.703419974571572,0.674793127565441,0.0126317283245932,0.0159556171846399,0.0233218182630093,0.846330710520469,0.639420479485277,0.942792028352324,0.052684519615995,0.0180756128116286
45,0.702617217343264,0.687519158231667,0.67682769671553,0.012098078236346,0.0150274884973857,0.0217843232717415,0.840507769478898,0.620458221396518,0.938438141553571,0.0257895206277339,0.0171428887803025
46,0.705801069637409,0.668151433120629,0.624632653520312,0.0143562950090994,0.0175432726264139,0.023853815320076,0.884851551207577,0.691452025909193,0.940740106727414,0.081168416117097,0.0173645871418541
47,0.694808958288408,0.672870694780694,0.64851310880258,0.0139660191838209,0.0183768319818994,0.0265170854309338,0.863104945293919,0.673816649393324,0.948634060039573,0.0462958494858287,0.0199781261412142
48,0.715242910406593,0.682306391728315,0.646100639319046,0.0132580531781778,0.016998570990363,0.0242515102865367,0.846579507279623,0.634677931370317,0.940948886365058,0.0691422710875467,0.0188620918974949
49,0.698957845492042,0.679451586557129,0.661166917334732,0.0132792584906984,0.0163075981965204,0.0225639766443825,0.860645085505546,0.650786628370356,0.938602722191323,0.0377909281573099,0.0171894620816008
50,0.717807875135628,0.687801471907814,0.655746477509118,0.0140188036965408,0.0161225848382836,0.0223752344449704,0.846319719317366,0.588630845056363,0.920936117385431,0.0620613976265103,0.0181080525564545
51,0.68371340112213,0.642965985900285,0.599999927992786,0.0144054487013491,0.0185133390089031,0.0260414209724261,0.871734656929484,0.689607845997534,0.947094259218706,0.0837134731293435,0.0191905146919747
52,0.704665234527447,0.68791961221879,0.673643370943322,0.0137239157917504,0.0168374231925327,0.0230505597956575,0.882885828984496,0.6891656979046,0.942068092555007,0.0310218635841247,0.0168418343712031
53,0.702077852273049,0.669783876051432,0.634784715769439,0.0136934756431576,0.0184305305925492,0.0258923345228121,0.881114585723736,0.727650004544951,0.958900539708408,0.0672931365036095,0.0184915882589755
54,0.703210557163462,0.68659661044815,0.669688969333037,0.0140301677786959,0.0163099696244416,0.0218796112621458,0.876341050467194,0.661079267516784,0.932477116817624,0.0335215878304249,0.0164223593632086
55,0.696787978727526,0.674558504648034,0.652162071752304,0.0129280134586999,0.0150781017058694,0.0210623178597586,0.827556019849658,0.55953113175895,0.919083044488864,0.0446259069752223,0.0174940248470965
56,0.729073495100657,0.708338462011878,0.68412016229594,0.0134289767791022,0.015909469313954,0.0214541834813053,0.861637690064476,0.639100007046126,0.933929487933392,0.0449533328047169,0.0165033360068638
57,0.725837586041485,0.709452361354362,0.689991971028142,0.0124225668699659,0.0155881404125469,0.0219810232922162,0.848885678162491,0.630785224593296,0.939298894436037,0.0358456150133425,0.0171172486878948
58,0.725312261605201,0.713624450910255,0.699299473036383,0.0126952856700646,0.0163409865078308,0.022569188929113,0.870467148744288,0.695655854679533,0.951500687169262,0.0260127885688183,0.0164892915272769
59,0.722302925087738,0.693932058006135,0.659799567133687,0.0131020587794358,0.0160827858180818,0.0228220449025153,0.857067543284461,0.633441832593872,0.934297758861622,0.0625033579540513,0.0177113375654485
60,0.730696828621861,0.692998055885655,0.647244195655333,0.0143266395741805,0.0187346239152611,0.0261459161545914,0.902793509359494,0.750414840622451,0.955219966672116,0.0834526329665276,0.0180741824943518
61,0.71651150191954,0.678007495343352,0.635573734900818,0.0122640541598213,0.0168275130756229,0.0247066908086084,0.857702390107924,0.645498061266031,0.939476311867623,0.0809377670187217,0.0192262933333803
62,0.699345177354323,0.677240513398544,0.653946110127692,0.0149076446198258,0.0179533259676365,0.0239603170406808,0.887724948097012,0.70777853261217,0.946387999251061,0.0453990672266307,0.0170501951677793
63,0.722265397969365,0.709388532091385,0.694719730249684,0.0139234008158794,0.0163047520259547,0.0218706300036706,0.886502526124545,0.688345527942132,0.937834821236194,0.0275456677196811,0.0159048567931238
