"cell","b","kappa_AC","kappa_IPW","delta","se","z","boot_var_AC","boot_var_IPW","boot_cov","reject_05"
"null",108,0.847881771892688,0.847914764841135,-3.29929484469416e-05,0.000636914885153313,-0.0518011891636035,0.000195585651958934,0.000193202936004169,0.000194191463696086,FALSE
"null",109,0.823855702152754,0.823799402770309,5.62993824446689e-05,0.000730712122937418,0.0770472812444234,0.000286077969402628,0.000288144624847549,0.000286844327021785,FALSE
"null",110,0.811459559317676,0.810129957569108,0.00132960174856722,0.00113375062504095,1.17274620996941,0.000263264546814958,0.000264056550999338,0.000263017853667258,FALSE
"null",111,0.85297691128584,0.852912066965546,6.48443202937443e-05,0.000716470990411206,0.0905051581453815,0.000210962073130415,0.000210527878752121,0.000210488310601217,FALSE
"null",112,0.827361053911245,0.82707179586178,0.000289258049465779,0.00095130987410813,0.304062910875349,0.000242562442610628,0.000241504689221379,0.000241581070677716,FALSE
"null",113,0.848403004849279,0.847556671833959,0.000846333015320222,0.000871112075617706,0.971554681663764,0.000189081291983224,0.000192151376425294,0.000190236916080116,FALSE
"null",114,0.850093828288217,0.850254235754043,-0.00016040746582624,0.00101075136682673,-0.158701210892092,0.000222327459661294,0.000219557729884584,0.000220431785610168,FALSE
"null",115,0.805729481437371,0.805894431812472,-0.000164950375101336,0.000999269925196594,-0.165070889198315,0.000280576083395625,0.00028046421205732,0.000280020877534771,FALSE
"null",116,0.829225904918233,0.828939124729143,0.000286780189089786,0.000826248900228635,0.347086923819723,0.000238896422198714,0.000241234759788969,0.000239724247371277,FALSE
"null",117,0.855194149589721,0.854400023259091,0.000794126330630363,0.000912891479330576,0.869902226727645,0.000198762901477129,0.000199278940387717,0.000198604235505906,FALSE
"null",118,0.829423933963852,0.829180636079698,0.000243297884153559,0.000869556878188014,0.279795250036483,0.000255423902375714,0.000256859481305028,0.000255763627258169,FALSE
"null",119,0.818638111042024,0.818321517637774,0.000316593404250054,0.000799248429887081,0.396113889513405,0.000241519473367759,0.000241082054658084,0.000240981364986583,FALSE
"null",120,0.854963561255802,0.855021349853388,-5.77885975858727e-05,0.000724568629320845,-0.0797558647274577,0.000206088694147625,0.000207828028111158,0.000206695861280093,FALSE
"null",121,0.819800324668595,0.820243429336312,-0.000443104667716798,0.000895162242185974,-0.49499928262696,0.000236998384941339,0.000236429763600671,0.000236313416551087,FALSE
"null",122,0.8338087577354,0.833524981925747,0.000283775809652775,0.000658090770788135,0.43121074211833,0.000260069955815876,0.000262391266231247,0.000261014069292263,FALSE
"null",123,0.817700368219849,0.81722171806982,0.000478650150028903,0.000795917252150785,0.601381800351054,0.000263160390746912,0.000263265266656866,0.000262896086565753,FALSE
"null",124,0.826034917246992,0.826399618886801,-0.000364701639809284,0.000928596032167918,-0.39274520585431,0.000247026426911011,0.000248437640608625,0.000247300888464339,FALSE
"null",125,0.82917817014324,0.829551368205292,-0.000373198062051827,0.00100570729418529,-0.371080198194396,0.000239811778112904,0.00023965110397852,0.000239225717464924,FALSE
"null",126,0.803060280488759,0.802623483139194,0.00043679734956481,0.000961208561942518,0.454425154809359,0.00027190362160641,0.000273558746652867,0.000272269223179862,FALSE
"null",127,0.864833567068342,0.865346568128643,-0.000513001060300722,0.000892534072552283,-0.574769161286748,0.000251035456060332,0.000247914381450007,0.000249076610219836,FALSE
"null",128,0.852490571330771,0.852321036452806,0.000169534877965227,0.000968371716439898,0.175072108248372,0.000242447378885351,0.00023974443906835,0.00024062703708625,FALSE
"null",129,0.825910708036193,0.825942127015728,-3.14189795351805e-05,0.000864398252337184,-0.0363478054822866,0.000272205103587509,0.000276128560879806,0.000273793240064336,FALSE
"null",130,0.838876709487898,0.839272897283073,-0.000396187795175029,0.000644713357972903,-0.614517739202297,0.00022801293433831,0.000227891988960572,0.000227744633992467,FALSE
"null",131,0.84565670486,0.844735158678449,0.000921546181551158,0.00091970104090853,1.00200623959369,0.000211635991475845,0.000214242514589898,0.000212516328030547,FALSE
"null",132,0.831854761777704,0.831717598960475,0.000137162817228642,0.000939062260884401,0.14606360296011,0.000225669539477345,0.000228126013689776,0.000226456857618652,FALSE
"null",133,0.813379015948704,0.813901435257471,-0.000522419308766731,0.000985797826494682,-0.529945689395927,0.000280505732536497,0.000280142417477594,0.000279838176329685,FALSE
"null",134,0.847698176043736,0.847679487408617,1.86886351192239e-05,0.00083599148740376,0.0223550543286786,0.000210662711675171,0.00020888429288313,0.000209424061395645,FALSE
"null",135,0.827808729604767,0.827850974418697,-4.22448139301146e-05,0.00102265282671823,-0.0413090472410673,0.000224962874131376,0.000224956354344455,0.000224436704835918,FALSE
"null",136,0.840178770321321,0.840681162345579,-0.000502392024257725,0.00103548427581988,-0.485175908499374,0.000240563254667299,0.000239802067035672,0.00023964654700875,FALSE
"null",137,0.826470784365462,0.826280748420848,0.000190035944613864,0.000735888421089523,0.258240161371891,0.000255609562617216,0.000257240071253379,0.00025615405105115,FALSE
