"rate","b","alpha_A","alpha_B","diff","se_dep","corr","chisq_dep","reject_05"
0.25,143,0.762081190217619,0.807530409525298,-0.0454492193076786,0.0217671101415821,0.334942809208975,4.35964679676402,TRUE
0.25,144,0.756475171521951,0.81094839631208,-0.0544732247901289,0.0220583120038246,0.376343194257223,6.0984802476872,TRUE
0.25,145,0.760450912200615,0.812499873018152,-0.0520489608175365,0.0199753892790295,0.363410293077323,6.78943481334655,TRUE
0.25,146,0.764409567543611,0.786281701973132,-0.0218721344295213,0.0220259127085802,0.330969710276446,0.986085347353768,FALSE
0.25,147,0.771725584852228,0.806947129558188,-0.0352215447059606,0.020195088971307,0.337029062146642,3.04176218174385,FALSE
0.25,148,0.779451629716187,0.794662638818593,-0.0152110091024067,0.0219571672899034,0.281377880842742,0.479914012863754,FALSE
0.25,149,0.753469626697946,0.798524373772432,-0.0450547470744863,0.024057693790135,0.289567084487984,3.50730170532189,FALSE
0.25,150,0.76595627396983,0.796628349647567,-0.0306720756777372,0.022437956507663,0.334859512544062,1.86861456821599,FALSE
0.25,151,0.771175408560779,0.798655150642371,-0.0274797420815918,0.0215899243450951,0.317929439846246,1.62003002423853,FALSE
0.25,152,0.774357882204577,0.798554258033187,-0.0241963758286093,0.021561803962865,0.29754425739468,1.25930363433728,FALSE
0.25,153,0.759233100479455,0.806667304951912,-0.0474342044724567,0.0222353774628157,0.31058033342472,4.5508679082772,TRUE
0.25,154,0.766960049011527,0.805460743863795,-0.0385006948522675,0.0219202347219296,0.356938471442155,3.08494009249365,FALSE
0.25,155,0.767231749567305,0.80091356449041,-0.0336818149231052,0.0234836460632231,0.287521656980699,2.05712137960145,FALSE
0.25,156,0.756352811003,0.811335363964942,-0.0549825529619425,0.0226584551488548,0.389140978521793,5.88829025368999,TRUE
0.25,157,0.758266160008408,0.790336682877881,-0.0320705228694723,0.0222713564448943,0.303183275225162,2.07357020469753,FALSE
0.25,158,0.765971520108352,0.80317179030309,-0.037200270194738,0.0212870569559003,0.37770238999452,3.05394312153887,FALSE
