"index","eigenvalue","relative","retained_at_info_rcond"
178,3290313.93022022,0.0162795712951283,TRUE
179,3256038.34586052,0.016109985100285,TRUE
180,3226702.90101391,0.0159648413614252,TRUE
181,3181554.13137168,0.0157414576266613,TRUE
182,3127341.08972271,0.0154732263589564,TRUE
183,3065379.44802753,0.0151666571424828,TRUE
184,3050830.53219353,0.0150946730954862,TRUE
185,3030134.41610031,0.0149922743868471,TRUE
186,3007930.9708204,0.0148824178266229,TRUE
187,2930180.29227741,0.0144977287843525,TRUE
188,2880276.98936213,0.0142508209223975,TRUE
189,2864367.67428294,0.0141721059928859,TRUE
190,2823423.23391907,0.0139695241267847,TRUE
191,2761449.86518565,0.0136628968881408,TRUE
192,2691054.28297776,0.0133145988461546,TRUE
193,2667030.98378506,0.0131957381476785,TRUE
194,2624375.90731342,0.0129846925230828,TRUE
195,2573790.8656598,0.0127344116047475,TRUE
196,2540723.22875372,0.0125708020027488,TRUE
197,2509000.42683798,0.0124138462755991,TRUE
198,2494005.2461865,0.0123396542326281,TRUE
199,2461140.70906253,0.012177049512672,TRUE
200,2415357.70878824,0.0119505277786135,TRUE
201,2406796.48178576,0.0119081691744449,TRUE
202,2403235.18859502,0.011890548872057,TRUE
203,2392570.45598512,0.0118377826988139,TRUE
204,2380137.43161556,0.0117762675027169,TRUE
205,2377062.09066567,0.0117610515587941,TRUE
206,2373068.80757902,0.0117412938888303,TRUE
207,2360719.39087995,0.0116801923605659,TRUE
208,2336715.80764955,0.0115614292112662,TRUE
209,2334329.52475738,0.0115496225377094,TRUE
210,2216993.35250156,0.0109690753248153,TRUE
211,2115462.93033872,0.0104667306302731,TRUE
212,2102964.31282439,0.0104048908972779,TRUE
213,2092954.49791533,0.0103553650772744,TRUE
214,2078746.74717244,0.0102850690216191,TRUE
215,2076745.02608236,0.0102751650544324,TRUE
216,2032066.36215023,0.0100541072738438,TRUE
217,2003218.89248961,0.009911377902427,TRUE
218,1989124.63519188,0.0098416433812244,TRUE
219,1960868.36957432,0.00970183912533555,TRUE
220,1930244.54957588,0.00955032085942941,TRUE
221,1887625.13315254,0.00933945167097659,TRUE
222,1879335.18944954,0.00929843530220212,TRUE
223,1866956.70912494,0.00923718997508647,TRUE
224,1864984.10414319,0.00922743006642161,TRUE
225,1849314.45628013,0.00914990094459124,TRUE
226,1829728.29334747,0.00905299397989962,TRUE
227,1786040.24186089,0.00883683747811761,TRUE
228,1775664.23302851,0.00878549983097271,TRUE
229,1763002.33279488,0.00872285221984602,TRUE
230,1751018.56850561,0.00866355983946267,TRUE
231,1741315.27017818,0.00861555057947429,TRUE
232,1677100.81232048,0.00829783504623264,TRUE
233,1638289.94939305,0.00810580953637186,TRUE
234,1632002.68714654,0.00807470188641386,TRUE
