"dgp","dgp_label","family","p","categories","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,3,"mcar30",100,4,4181804,"listwise",0.830494726795803,0.860734892195566,0.0302401653997636,0.0493353448104214,0,NA,0.781666666666667,18,48,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,1,5181801,"pairwise",0.685889660325719,0.695568068369851,0.00967840804413223,0.0578807831017445,0.99999999999989,NA,0.736666666666667,27,47,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,1,5181801,"cat_em",0.685889660325719,0.698543924186217,0.0126542638604981,0.0524604498166109,1.99999999999978,NA,0.736666666666667,27,47,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,1,5181801,"normal_fiml",0.685889660325719,0.721779524659484,0.0358898643337651,0.0592708078206493,126,50,0.736666666666667,27,47,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,1,5181801,"listwise",0.685889660325719,0.642876901798064,-0.043012758527655,0.0941947794628219,0,NA,0.736666666666667,27,47,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,2,5181802,"pairwise",0.685889660325719,0.642931338538693,-0.0429583217870253,0.0659326479135535,0,NA,0.766666666666667,35,50,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,2,5181802,"cat_em",0.685889660325719,0.605721134043316,-0.0801685262824031,0.0888301586354214,1.99999999999978,NA,0.766666666666667,35,50,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,2,5181802,"normal_fiml",0.685889660325719,0.652027047809461,-0.0338626125162573,0.0687432940312759,134,62,0.766666666666667,35,50,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,2,5181802,"listwise",0.685889660325719,0.715916230366492,0.0300265700407735,0.0760718497699153,0.99999999999989,NA,0.766666666666667,35,50,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,3,5181803,"pairwise",0.685889660325719,0.569691389850532,-0.116198270475187,0.0720446945287429,0,NA,0.771666666666667,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,3,5181803,"cat_em",0.685889660325719,0.631136077923148,-0.0547535824025711,0.0751235081707529,3.00000000000011,NA,0.771666666666667,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,3,5181803,"normal_fiml",0.685889660325719,0.620086918883362,-0.0658027414423562,0.066543887990735,115,41,0.771666666666667,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,3,5181803,"listwise",0.685889660325719,0.511619718309859,-0.17426994201586,0.134091124586803,0,NA,0.771666666666667,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,4,5181804,"pairwise",0.685889660325719,0.533593272692311,-0.152296387633408,0.0845472704020937,0,NA,0.758333333333333,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,4,5181804,"cat_em",0.685889660325719,0.638597653374921,-0.047292006950798,0.110611847810403,1.99999999999978,NA,0.758333333333333,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,4,5181804,"normal_fiml",0.685889660325719,0.650889271605884,-0.0350003887198342,0.0745351582299999,116,47,0.758333333333333,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mar_anchor30",100,4,5181804,"listwise",0.685889660325719,0.49377990430622,-0.192109756019499,0.140510233298866,0,NA,0.758333333333333,40,53,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,1,6181801,"pairwise",0.685889660325719,0.684261720276742,-0.00162794004897693,0.0596405146475348,0,NA,0.715,7,38,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,1,6181801,"cat_em",0.685889660325719,0.606219882888799,-0.0796697774369192,0.0821574588116271,0.99999999999989,NA,0.715,7,38,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,1,6181801,"normal_fiml",0.685889660325719,0.694090692059974,0.00820103173425535,0.0582191377781568,182,93,0.715,7,38,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,1,6181801,"listwise",0.685889660325719,0.563636363636363,-0.122253296689355,0.195595584498638,0,NA,0.715,7,38,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,2,6181802,"pairwise",0.685889660325719,0.666718631253258,-0.0191710290724606,0.0610427304101167,0,NA,0.758333333333333,14,42,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,2,6181802,"cat_em",0.685889660325719,0.669414727099238,-0.0164749332264803,0.0590564264254109,1.99999999999978,NA,0.758333333333333,14,42,""
