"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",54,0.859937298250233,0.861152932003439,-0.00121563375320644,0.000603889796105157,-2.01300595083205,0.000210908828017703,0.000206793574308798,0.000208668859720331,TRUE
"null",55,0.847922917948983,0.84700025937181,0.000922658577172553,0.000491497158622647,1.87724091784818,0.000218982939856094,0.00022197123770259,0.000220356304050875,FALSE
"null",56,0.849405938414499,0.849271455268814,0.000134483145684317,0.00045434692991771,0.2959921963348,0.000209657266010228,0.000209832999818889,0.000209641917348195,FALSE
"null",57,0.860518598500287,0.86065190043072,-0.000133301930433927,0.000537138426402213,-0.248170534599044,0.000197689503660067,0.000197984161985224,0.000197692573978087,FALSE
"null",58,0.845043160671268,0.845004092633063,3.90680382054143e-05,0.000266337229687936,0.146686357934975,0.000230701252789386,0.000230629656122276,0.000230629986695872,FALSE
"null",59,0.8516956242965,0.852329044233007,-0.000633419936506563,0.000619317853325413,-1.02277034822334,0.000212598261461973,0.000210978581911349,0.000211596644384937,FALSE
"null",60,0.842758922965813,0.841789370499544,0.000969552466268953,0.000635601056087581,1.52541040796407,0.000229581846633389,0.000234277457406035,0.000231727657668462,FALSE
"null",61,0.866135851751264,0.866127830708678,8.02104258590397e-06,0.000408286409877201,0.0196456271672536,0.000213335954294422,0.000213722256341486,0.000213445756421709,FALSE
"null",62,0.850459767314284,0.849427023738359,0.00103274357592453,0.000526219012316046,1.96257366562854,0.000229493280847522,0.000231812861071532,0.000230514617735065,TRUE
"null",63,0.838864705248948,0.838999626376013,-0.000134921127064924,0.000360935498047321,-0.373809524956271,0.000228832898954543,0.000228724445919381,0.000228713535220087,FALSE
"null",64,0.840889139158189,0.839531764416933,0.00135737474125663,0.000600957521851268,2.25868666569843,0.000246500952459988,0.000250211039744556,0.000248175421130737,TRUE
"null",65,0.826244866754517,0.826727763688951,-0.000482896934434374,0.000583213487456273,-0.827993427484956,0.000231461934753448,0.000230233897925748,0.000230677847353623,FALSE
"null",66,0.837063280738743,0.837254337302019,-0.000191056563275338,0.000277051197104503,-0.689607427335072,0.000231061034293596,0.000230925404580241,0.00023095484075401,FALSE
"null",67,0.801617304703423,0.802260171467022,-0.000642866763598815,0.000525259667213846,-1.22390277366773,0.000261879318287554,0.000259952243929186,0.000260777832249369,FALSE
"null",68,0.841473900820256,0.841545174665674,-7.12738454180517e-05,0.000437972570883645,-0.162735865568592,0.000220725383778604,0.000221133421166378,0.000220833492486068,FALSE
"null",69,0.830351493779039,0.830441836874266,-9.03430952277073e-05,0.000478134654126348,-0.188949063716754,0.000228289354684143,0.000228552932391926,0.000228306837164296,FALSE
"null",70,0.830287714526844,0.83071703998438,-0.000429325457536378,0.000505942228682096,-0.848566166644573,0.000229342380525504,0.000229490046620275,0.000229288224803508,FALSE
