"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad","reject_id_eq_quad"
40,0.722407681749541,0.698344748973887,0.674343078550058,0.0135203703111223,0.0166931840389026,0.0233761703315736,0.863299047478616,0.64486780518947,0.935319801415314,0.0480646031994827,0.0179337401536228,TRUE
41,0.701509907284882,0.683796733604783,0.66968024859982,0.0136939077322013,0.0169999602411332,0.0230919657061348,0.87351846841024,0.682103597913423,0.944652004059698,0.0318296586850622,0.0170109792761132,FALSE
42,0.698020812079168,0.680171500638474,0.663475829676747,0.0132174852911762,0.0171574779036828,0.0241945596023452,0.851829027628661,0.658473339463427,0.948166079879945,0.0345449824024202,0.0184100686041018,FALSE
43,0.721019386192415,0.70167875882821,0.683136830515514,0.0133472857283556,0.0168203590134872,0.0230588777029534,0.856645614534357,0.660523632277438,0.946059407916068,0.0378825556769012,0.0174148967951492,TRUE
44,0.727477647181436,0.703419974571572,0.674793127565441,0.013217707462447,0.0167665481325308,0.0236895813105284,0.873175924750685,0.684884446423678,0.946026287393912,0.052684519615995,0.0175213965963361,TRUE
45,0.702617217343264,0.687519158231667,0.67682769671553,0.013858046548517,0.0169934700367856,0.0233056306521091,0.865988821740346,0.662732045359468,0.941583253690395,0.0257895206277339,0.017524612834792,FALSE
46,0.705801069637409,0.668151433120629,0.624632653520312,0.013774421048945,0.017543476252453,0.0247013869116511,0.872528544059962,0.684468548297145,0.946098024368919,0.081168416117097,0.0182788411663748,TRUE
47,0.694808958288408,0.672870694780694,0.64851310880258,0.0139428347461236,0.0181556567923329,0.0259429627842704,0.863800208889867,0.674505345829736,0.948128542830973,0.0462958494858287,0.0194801928097817,TRUE
48,0.715242910406593,0.682306391728315,0.646100639319046,0.0133567511278296,0.0169054224001315,0.0237897132405148,0.862003789080922,0.665227984370637,0.944834286872547,0.0691422710875467,0.0179331121090709,TRUE
49,0.698957845492042,0.679451586557129,0.661166917334732,0.0137960620434396,0.0168932333479354,0.0232257936254214,0.861568738592997,0.653941651969335,0.93952104226843,0.0377909281573099,0.0176264283668115,TRUE
50,0.717807875135628,0.687801471907814,0.655746477509118,0.0130869425382567,0.0163622980323884,0.0231717335730352,0.852044438599528,0.636846764219333,0.938274244910443,0.0620613976265103,0.0179430592341216,TRUE
51,0.68371340112213,0.642965985900285,0.599999927992786,0.0139526385882345,0.0178598957212332,0.0252411987185516,0.863241960746423,0.666449731349841,0.944081116000738,0.0837134731293435,0.0190360694416023,TRUE
52,0.704665234527447,0.68791961221879,0.673643370943322,0.0135223419906458,0.0167275711018866,0.0225618384137759,0.882992091997013,0.702050027617196,0.947108643983155,0.0310218635841247,0.0162331436032664,FALSE
53,0.702077852273049,0.669783876051432,0.634784715769439,0.0136222626266308,0.0175499391026252,0.0247163930989586,0.86537643241255,0.67949516254609,0.948455762779842,0.0672931365036095,0.0184093272097592,TRUE
54,0.703210557163462,0.68659661044815,0.669688969333037,0.0138387552237567,0.0168979864400225,0.0231960463586969,0.875174833817739,0.676199519368639,0.940783724006122,0.0335215878304249,0.0171884164596707,FALSE
55,0.696787978727526,0.674558504648034,0.652162071752304,0.0135339657117948,0.0165830471402352,0.0228355612694425,0.86591754567522,0.65642274597248,0.937727229090348,0.0446259069752223,0.0172883978330214,TRUE
56,0.729073495100657,0.708338462011878,0.68412016229594,0.0136127420935179,0.016500557653426,0.0226671674705069,0.866865821128808,0.664199322835917,0.941458152844253,0.0449533328047169,0.0170062776845295,TRUE
57,0.725837586041485,0.709452361354362,0.689991971028142,0.0137759204164646,0.0168593226928141,0.0233029147466458,0.866552125674479,0.663698030695757,0.941706420049227,0.0358456150133425,0.0175123479675822,TRUE
58,0.725312261605201,0.713624450910255,0.699299473036383,0.0130909098738261,0.0165342769925791,0.0227448140458003,0.858345889302955,0.672147068828615,0.949977634649349,0.0260127885688183,0.0169833592097754,FALSE
59,0.722302925087738,0.693932058006135,0.659799567133687,0.0128067297477729,0.016354106560632,0.0234713224515136,0.85563592998767,0.645670635857543,0.939851263174379,0.0625033579540513,0.0180762244604075,TRUE
60,0.730696828621861,0.692998055885655,0.647244195655333,0.0131878758260551,0.017392788638054,0.0251065971553024,0.873758367834076,0.693103813611092,0.948869301087928,0.0834526329665276,0.0185818250237295,TRUE
61,0.71651150191954,0.678007495343352,0.635573734900818,0.0134970176182697,0.0176471294327553,0.0251485769495588,0.866554339816936,0.67672996991514,0.946651146453146,0.0809377670187217,0.01884713335655,TRUE
62,0.699345177354323,0.677240513398544,0.653946110127692,0.0136362985755409,0.0171279751915541,0.0238347432150605,0.872538298714139,0.682834555619956,0.945391445083181,0.0453990672266307,0.0176118432788942,TRUE
63,0.722265397969365,0.709388532091385,0.694719730249684,0.0138808905708875,0.0165650081126809,0.0223237347515264,0.879229158587298,0.682542977253157,0.941520620937114,0.0275456677196811,0.0163714550530712,FALSE
64,0.718880788504226,0.683514739611649,0.648851797427082,0.0130728574069701,0.0170746796431759,0.0249691470925963,0.850613705501361,0.637395118675828,0.939315425096095,0.0700289910771438,0.0194484781090413,TRUE
