"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"guess","A","Exchangeable + MCAR",1000,10,210210,"gwet","Brennan-Prediger",0.843306360022714,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"available","Conger",0.847814826276025,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"available","Fleiss",0.847817520954752,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"available","Brennan-Prediger",0.851914495465669,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"ipw","Conger",0.846330447040751,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"ipw","Fleiss",0.846292085022103,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"ipw","Brennan-Prediger",0.850591131354591,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"fiml","Conger",0.830983321092858,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"fiml","Fleiss",0.830964226908667,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"fiml","Brennan-Prediger",0.835552928583,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"gwet","Conger",0.847691549451841,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"gwet","Fleiss",0.84765352721837,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,11,210211,"gwet","Brennan-Prediger",0.851914495465669,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"available","Conger",0.837623838766763,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"available","Fleiss",0.837596341442714,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"available","Brennan-Prediger",0.841395148557485,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"ipw","Conger",0.843272971668035,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"ipw","Fleiss",0.843264521441634,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"ipw","Brennan-Prediger",0.846851729120698,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"fiml","Conger",0.833986661153338,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"fiml","Fleiss",0.833977650892924,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"fiml","Brennan-Prediger",0.837800889582198,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"gwet","Conger",0.837688882134303,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"gwet","Fleiss",0.83768013083143,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,12,210212,"gwet","Brennan-Prediger",0.841395148557485,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"available","Conger",0.829721719304785,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"available","Fleiss",0.829675368274963,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"available","Brennan-Prediger",0.833413726571114,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"ipw","Conger",0.828307348771456,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"ipw","Fleiss",0.828241933485445,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"ipw","Brennan-Prediger",0.831874956649546,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"fiml","Conger",0.812410619150215,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"fiml","Fleiss",0.812399888510958,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"fiml","Brennan-Prediger",0.816765514058361,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"gwet","Conger",0.829878771340038,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"gwet","Fleiss",0.829813954769557,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,13,210213,"gwet","Brennan-Prediger",0.833413726571114,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"available","Conger",0.832129487458732,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"available","Fleiss",0.832111221470798,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"available","Brennan-Prediger",0.83640700655084,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"ipw","Conger",0.825482107764916,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"ipw","Fleiss",0.825460466076308,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"ipw","Brennan-Prediger",0.829825719553589,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"fiml","Conger",0.809658645124311,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"fiml","Fleiss",0.809638139829754,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"fiml","Brennan-Prediger",0.813976879445306,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"gwet","Conger",0.832231378758991,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"gwet","Fleiss",0.832210574036835,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,14,210214,"gwet","Brennan-Prediger",0.83640700655084,0.847107967078189,""
