"target","R","n","coefficient","method","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","sd_estimate","mean_se","mean_skew_if"
0.5,2,20,"Fleiss","fisher",300,300,0.943333333333333,0.02,0.0366666666666667,0.79315209260072,0.831446010757534,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,40,"Fleiss","arcsine",300,300,0.936666666666667,0.0166666666666667,0.0466666666666667,0.585289976260634,0.601584298117836,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","basic",300,300,0.93,0.0133333333333333,0.0566666666666667,0.597521407642558,0.614219831983307,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","cf_if",300,300,0.91,0.0166666666666667,0.0733333333333333,0.57899129687585,0.595171875916487,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","cf_student_minus",300,300,0.94,0.0166666666666667,0.0433333333333333,0.57899129687585,0.595171875916487,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","cf_student_plus",300,300,0.88,0.0133333333333333,0.106666666666667,0.57899129687585,0.595171875916487,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,2,40,"Fleiss","fisher",300,300,0.943333333333333,0.02,0.0366666666666667,0.588552717614944,0.601428526657843,0.479504006048468,-0.0204959939515325,0.153440931602117,0.147704575554158,-1.41920012078035
0.5,5,10,"Fleiss","arcsine",300,300,0.916666666666667,0.0666666666666667,0.0166666666666667,0.662585974850913,0.663352096016068,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","basic",300,300,0.896666666666667,0.0633333333333333,0.04,0.683150793380342,0.680166715197399,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","cf_if",300,300,0.86,0.09,0.05,0.591891214746194,0.589305768490822,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","cf_student_minus",300,300,0.883333333333333,0.0766666666666667,0.04,0.591891214746194,0.589305768490822,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","cf_student_plus",300,300,0.84,0.1,0.06,0.591891214746194,0.589305768490822,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,10,"Fleiss","fisher",300,300,0.913333333333333,0.0766666666666667,0.01,0.671601875267918,0.672819790508892,0.472825302790795,-0.0271746972092047,0.165305072926261,0.150995431399494,0.158897797370213
0.5,5,20,"Fleiss","arcsine",300,300,0.933333333333333,0.0433333333333333,0.0233333333333333,0.464340274388813,0.467915369806518,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","basic",300,300,0.936666666666667,0.0333333333333333,0.03,0.470482928680348,0.473686280813916,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","cf_if",300,300,0.906666666666667,0.05,0.0433333333333333,0.440572860886251,0.443572565929473,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","cf_student_minus",300,300,0.94,0.0366666666666667,0.0233333333333333,0.440572860886251,0.443572565929473,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,20,"Fleiss","cf_student_plus",300,300,0.883333333333333,0.07,0.0466666666666667,0.440572860886251,0.443572565929473,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
