"profile","profile_label","C","R","patterns","mechanism","n","method","reps","n_valid","n_finite_se","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","min_pair_count_min","min_observed_categories","max_psi_vcov_abs_error"
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,"available",8,8,8,0,0.825352712419042,0.82628438808094,0.000931675661898418,0.0329614319782513,0.0116536260347203,0.0308466694772507,0.0226492393277625,0.687143669689684,0.875,0.280568825345242,1.45632824327399,0,0,1,150,3,1.51788304147971e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",150,"fiml",8,8,8,0,0.825352712419042,0.82628438808094,0.000931675661898335,0.032961431978251,0.0116536260347202,0.0308466694772504,0.0226492393277625,0.687143669689689,0.875,0.280568825345236,1.45632824327398,0.375,0,1,150,3,1.0842021724855e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,"available",8,8,8,0,0.825352712419042,0.82909837303248,0.0037456606134381,0.00906836443275982,0.00320615099233768,0.00927285299844319,0.012465727503758,1.37463900973422,1,0.334822951068924,0.729190276620025,0.125,0,1,500,3,2.57498015965307e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",500,"fiml",8,8,8,0,0.825352712419042,0.82909837303248,0.00374566061343803,0.00906836443275969,0.00320615099233764,0.00927285299844306,0.012465727503758,1.37463900973424,1,0.33482295106892,0.729190276620016,1,1,1,500,3,4.87890977618477e-19
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,"available",8,8,8,0,0.825352712419042,0.812147318061462,-0.0132053943575794,0.0230700615071204,0.00815649846703779,0.025299836182053,0.0322153436724493,1.39641342796187,1,-0.382483721421511,0.672690761802216,0.125,0,0.705,48,3,2.16840434497101e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,"fiml",8,8,8,0,0.825352712419042,0.838828531322305,0.0134758189032635,0.0212401097507819,0.00750951281896219,0.0240072317138119,0.0309345684397806,1.45642225029661,1,0.542547213877087,0.602702173144922,0.750000000000001,1,0.705,48,3,7.80625564189563e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,"available",8,8,8,0,0.825352712419042,0.784638365897846,-0.0407143465211958,0.0147999790149416,0.00523258276144189,0.0430036913431321,0.0191523031266712,1.29407637046888,0.5,-2.08501236228483,0.616176501237163,0.125,0,0.7044375,170,3,1.0842021724855e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,"fiml",8,8,8,0,0.825352712419042,0.826843772212981,0.00149105979393968,0.0172515825035729,0.0060993554872378,0.0162061167719781,0.0170877949814082,0.990505942157434,1,0.178103256282308,1.00004111227648,1.875,1.5,0.7044375,170,3,4.01154803819637e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",150,"available",8,8,8,0,0.825352712419042,0.823007330184643,-0.00234538223439824,0.0269119530841671,0.00951481226039437,0.0252828476299504,0.028608378617701,1.06303613595893,1,0.039099881599533,0.888642260648379,0.25,0,0.78,80,3,1.95156391047391e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",150,"fiml",8,8,8,0,0.825352712419042,0.82079004503579,-0.00456266738325141,0.0333170068693231,0.0117793407430686,0.0314974286575809,0.0280222231514026,0.841078649751225,1,0.0338267153517519,1.08524194917429,1.25,1,0.78,80,3,2.08166817117217e-17
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",500,"available",8,8,8,0,0.825352712419042,0.824427015408231,-0.000925697010810675,0.0123740635849718,0.00437489213588353,0.0116118337638864,0.0157720727734909,1.27460738060583,1,-0.0136585532961777,0.775751600181542,0.25,0,0.77825,283,3,1.0842021724855e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",500,"fiml",8,8,8,0,0.825352712419042,0.824442838607919,-0.000909873811123132,0.0104396984889635,0.00369099079754453,0.00980773989383265,0.0145811128810281,1.39669865910809,1,-0.0138304246551056,0.741581481734022,1.125,1,0.77825,283,3,6.50521303491303e-19
