"profile","profile_label","C","R","patterns","mechanism","n","rep","seed","method","truth","estimate","bias","se","vcov","elapsed_ms","observed_fraction","min_pair_count","observed_categories","psi_vcov_max_abs_error","error"
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,2,9161602,"available",0.848384020813531,0.807799299598171,-0.0405847212153593,0.0295942439308797,0.00087581927384041,0,0.766666666666667,78,4,1.0842021724855e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,2,9161602,"fiml",0.848384020813531,0.783301233468497,-0.0650827873450341,0.0370962112202101,0.00137612888689444,6.00000000000001,0.766666666666667,78,4,4.55364912443912e-18,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,3,9161603,"available",0.848384020813531,0.84261345199208,-0.00577056882145022,0.0247405344684811,0.000612094045786099,0,0.730666666666667,72,4,1.0842021724855e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,3,9161603,"fiml",0.848384020813531,0.82879008849396,-0.0195939323195705,0.0308976389330431,0.000954664091636701,5,0.730666666666667,72,4,1.14925430283463e-17,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,4,9161604,"available",0.848384020813531,0.830197521955765,-0.0181864988577657,0.0252879537645087,0.000639480605595929,1,0.796,88,4,3.25260651745651e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,4,9161604,"fiml",0.848384020813531,0.839402184707966,-0.00898183610556469,0.0227537799439764,0.000517734501738903,3,0.796,88,4,1.73472347597681e-18,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,5,9161605,"available",0.848384020813531,0.817467390226593,-0.0309166305869381,0.0273544712617155,0.000748267098008017,0,0.785333333333333,88,4,0,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,5,9161605,"fiml",0.848384020813531,0.831211409216281,-0.0171726115972501,0.0285186667964301,0.000813314355845807,4,0.785333333333333,88,4,1.95156391047391e-18,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,6,9161606,"available",0.848384020813531,0.869462970037174,0.0210789492236434,0.0163468119716174,0.000267218261635415,0,0.796,84,4,4.33680868994202e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,6,9161606,"fiml",0.848384020813531,0.874100114170798,0.0257160933572673,0.0172359558091281,0.000297078172654218,3,0.796,84,4,1.62630325872826e-18,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,7,9161607,"available",0.848384020813531,0.851386863808784,0.00300284299525289,0.022319236278757,0.000498148308066985,0,0.777333333333333,86,4,3.25260651745651e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,7,9161607,"fiml",0.848384020813531,0.830883494814449,-0.0175005259990821,0.0242138019173156,0.000586308203290998,3,0.777333333333333,86,4,1.51788304147971e-18,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,8,9161608,"available",0.848384020813531,0.880400567419639,0.0320165466061086,0.0185000053944427,0.000342250199594409,0,0.786666666666667,88,4,4.87890977618477e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,8,9161608,"fiml",0.848384020813531,0.874388771670956,0.0260047508574248,0.0180046629570537,0.000324167888197101,3,0.786666666666667,88,4,9.75781955236954e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,1,10161601,"available",0.848384020813531,0.818850867836462,-0.0295331529770688,0.0144238716629172,0.000208048073748306,0,0.7796,295,4,1.02999206386123e-18,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,1,10161601,"fiml",0.848384020813531,0.80946830979301,-0.0389157110205206,0.0168919339913974,0.000285337433969726,25,0.7796,295,4,2.38524477946811e-17,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,2,10161602,"available",0.848384020813531,0.850900087792962,0.00251606697943108,0.0129797110861874,0.000168472899880896,1,0.7712,281,4,4.60785923306339e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,2,10161602,"fiml",0.848384020813531,0.832649585504006,-0.0157344353095251,0.0147760220563267,0.000218330827809052,23.9999999999999,0.7712,281,4,2.98155597433514e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,3,10161603,"available",0.848384020813531,0.849962402981512,0.00157838216798134,0.0120193845782856,0.000144465605640729,1,0.7836,300,4,2.43945488809238e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,3,10161603,"fiml",0.848384020813531,0.86165569133784,0.0132716705243097,0.0110591673822203,0.000122305183187965,24,0.7836,300,4,3.25260651745651e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,4,10161604,"available",0.848384020813531,0.838502929563479,-0.00988109125005199,0.0129239091774211,0.000167027428426229,0,0.788,289,4,3.79470760369927e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,4,10161604,"fiml",0.848384020813531,0.829625134572298,-0.018758886241233,0.0131798704538796,0.000173708985181047,18.9999999999999,0.788,289,4,2.71050543121376e-20,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",500,5,10161605,"available",0.848384020813531,0.841995247268541,-0.0063887735449899,0.0135921221257594,0.000184745783881559,0,0.7688,278,4,1.62630325872826e-19,""
