"index","eigenvalue","relative","contribution_untruncated","contribution_truncated","share_untruncated","cumulative_share_untruncated","retained_at_info_rcond"
112,11356343.550468,0.0561880745736139,8.31153748127076e-10,8.31153748127076e-10,1.33178127592133e-13,6.52271591392754e-10,TRUE
113,11041714.8757798,0.0546313781459465,1.04808154177904e-07,1.04808154177904e-07,1.67937084579769e-11,6.69065299850731e-10,TRUE
114,10767832.5613891,0.0532762835385148,1.02670104669899e-09,1.02670104669899e-09,1.64511227079673e-13,6.6922981107781e-10,TRUE
115,10734410.1244747,0.0531109184833426,1.29232485090703e-09,1.29232485090703e-09,2.07072884255666e-13,6.69436883962066e-10,TRUE
116,10540845.7315255,0.0521532149322397,9.9689045627399e-09,9.9689045627399e-09,1.59734591440161e-12,6.71034229876468e-10,TRUE
117,10175577.8118967,0.0503459694032327,1.24514758394096e-08,1.24514758394096e-08,1.99513536669718e-12,6.73029365243165e-10,TRUE
118,9965702.68220099,0.0493075647982572,8.3238271200026e-09,8.3238271200026e-09,1.33375047966827e-12,6.74363115722833e-10,TRUE
119,9830051.27807319,0.0486363988391371,4.17729763569389e-09,4.17729763569389e-09,6.69340274011133e-13,6.75032455996844e-10,TRUE
120,9122098.46456173,0.0451336424014329,1.87777711971358e-08,1.87777711971358e-08,3.00881565417147e-12,6.78041271651016e-10,TRUE
121,9097540.8253817,0.0450121379351875,5.36590745491976e-08,5.36590745491976e-08,8.59794603933643e-12,6.86639217690352e-10,TRUE
122,8954682.2266254,0.0443053127528804,6.65093282745684e-09,6.65093282745684e-09,1.06569787202154e-12,6.87704915562374e-10,TRUE
123,8637870.59119298,0.042737815633904,7.68229656590164e-08,7.68229656590164e-08,1.23095621545321e-11,7.00014477716906e-10,TRUE
124,8403951.18134955,0.0415804465224388,1.7469170503703e-08,1.7469170503703e-08,2.79913484540429e-12,7.0281361256231e-10,TRUE
125,8208450.50825974,0.0406131627880268,2.25036735420462e-08,2.25036735420462e-08,3.60582757766271e-12,7.06419440139973e-10,TRUE
126,8128329.01313171,0.0402167435952473,2.82079173908709e-11,2.82079173908709e-11,4.51983478370284e-15,7.06423959974757e-10,TRUE
127,8018003.02527792,0.0396708808529494,1.04105472734141e-08,1.04105472734141e-08,1.66811158128917e-12,7.08092071556046e-10,TRUE
128,7783158.63384174,0.0385089351861447,4.17661093822378e-08,4.17661093822378e-08,6.6923024252358e-12,7.14784373981282e-10,TRUE
129,7627557.4823625,0.0377390633463046,1.1577136557641e-08,1.1577136557641e-08,1.85503749829608e-12,7.16639411479578e-10,TRUE
130,7487897.5031702,0.0370480640567064,1.06120770138869e-08,1.06120770138869e-08,1.7004032644474e-12,7.18339814744025e-10,TRUE
131,7363355.65951986,0.0364318651571696,6.21993010941528e-09,6.21993010941528e-09,9.96637081397376e-13,7.19336451825422e-10,TRUE
132,7063769.23698107,0.0349495936693404,1.86360603997182e-08,1.86360603997182e-08,2.98610893029253e-12,7.22322560755715e-10,TRUE
133,6950146.34972734,0.0343874187726485,8.27517184802037e-10,8.27517184802037e-10,1.32595430713739e-13,7.22455156186429e-10,TRUE
134,6883672.86775942,0.0340585262074155,1.27033125009899e-08,1.27033125009899e-08,2.03548787082039e-12,7.24490644057249e-10,TRUE
135,6817074.09583953,0.033729013741848,1.48822028182167e-09,1.48822028182167e-09,2.38461765978036e-13,7.24729105823227e-10,TRUE
136,6812465.94434455,0.0337062138715644,2.01291890108876e-09,2.01291890108876e-09,3.22535717183373e-13,7.2505164154041e-10,TRUE
137,6713517.8026857,0.03321664559303,1.79710756300436e-08,1.79710756300436e-08,2.87955653044821e-12,7.27931198070859e-10,TRUE
138,6619880.03633415,0.0327533515956896,2.91041815182955e-08,2.91041815182955e-08,4.66344573244414e-12,7.32594643803303e-10,TRUE
139,6574510.89384949,0.0325288775165161,1.60079080203004e-08,1.60079080203004e-08,2.56499260409368e-12,7.35159636407396e-10,TRUE
140,6446349.95496271,0.0318947723259156,2.41512198601124e-09,2.41512198601124e-09,3.86981860730771e-13,7.35546618268127e-10,TRUE
141,6130620.51560796,0.03033262961645,7.97144574259868e-09,7.97144574259868e-09,1.27728740993328e-12,7.3682390567806e-10,TRUE
142,6046297.37319881,0.0299154218247949,1.3800121024705e-08,1.3800121024705e-08,2.21123261822077e-12,7.39035138296281e-10,TRUE
143,5986981.95287473,0.0296219453862103,1.87143526584997e-10,1.87143526584997e-10,2.99865392146051e-14,7.39065124835496e-10,TRUE
144,5919415.22543867,0.0292876437421115,1.27031651784364e-09,1.27031651784364e-09,2.03546426490888e-13,7.39268671261987e-10,TRUE
145,5688494.40930893,0.0281451108502845,2.14700564200072e-08,2.14700564200072e-08,3.44020816817258e-12,7.42708879430159e-10,TRUE
146,5573453.38569527,0.0275759194036623,5.95295195665416e-11,5.95295195665416e-11,9.53858413103028e-15,7.4271841801429e-10,TRUE
147,5467540.83133991,0.0270518931203825,1.88085091811295e-08,1.88085091811295e-08,3.01374088871859e-12,7.45732158903009e-10,TRUE
148,5317367.9457375,0.0263088788519549,1.56111613953917e-09,1.56111613953917e-09,2.50142076464412e-13,7.45982300979473e-10,TRUE
149,5295185.73598768,0.0261991273593119,6.03937388344517e-10,6.03937388344517e-10,9.67706044084499e-14,7.46079071583882e-10,TRUE
150,5258520.89295943,0.0260177197675861,3.77859827919907e-12,3.77859827919907e-12,6.05455542828942e-16,7.46079677039425e-10,TRUE
151,5219475.01628638,0.0258245314741405,8.84044221587656e-10,8.84044221587656e-10,1.41652918494315e-13,7.46221329957919e-10,TRUE
152,4938088.68235227,0.024432309035217,3.00960007627142e-08,3.00960007627142e-08,4.82236774919395e-12,7.51043697707113e-10,TRUE
153,4795844.31574493,0.0237285229051927,2.26247638881761e-09,2.26247638881761e-09,3.6252302280188e-13,7.51406220729915e-10,TRUE
154,4711334.08967371,0.0233103894748663,1.20926875187562e-09,1.20926875187562e-09,1.9376456942338e-13,7.51599985299338e-10,TRUE
155,4667115.12828368,0.0230916061764297,2.69735783673696e-09,2.69735783673696e-09,4.32205313339539e-13,7.52032190612678e-10,TRUE
156,4557955.97634538,0.0225515166183563,7.58166929264344e-09,7.58166929264344e-09,1.21483242142903e-12,7.53247023034107e-10,TRUE
157,4523903.78783598,0.0223830357249369,1.87793051021766e-08,1.87793051021766e-08,3.00906143613624e-12,7.56256084470243e-10,TRUE
158,4452027.37449991,0.0220274109364948,2.6805911210075e-09,2.6805911210075e-09,4.29518734819319e-13,7.56685603205062e-10,TRUE
159,4382483.12650626,0.0216833250628095,7.81208795695675e-09,7.81208795695675e-09,1.25175305897013e-12,7.57937356264032e-10,TRUE
160,4265615.54770395,0.0211050963218596,8.86401288150077e-10,8.86401288150077e-10,1.42030597969503e-13,7.58079386862002e-10,TRUE
161,4168007.44108157,0.0206221581693182,1.7962326729261e-09,1.7962326729261e-09,2.87815466920732e-13,7.58367202328923e-10,TRUE
162,4133806.01923789,0.0204529389102727,9.81915165846036e-10,9.81915165846036e-10,1.57335058088074e-13,7.58524537387011e-10,TRUE
163,4097510.75346284,0.0202733598854771,3.78243617687918e-11,3.78243617687918e-11,6.06070500083336e-15,7.58530598092011e-10,TRUE
164,4092159.67116929,0.0202468841972748,6.42436156377623e-10,6.42436156377623e-10,1.02939371441994e-13,7.58633537463453e-10,TRUE
165,4063557.31502454,0.0201053675803374,1.31210426040377e-08,1.31210426040377e-08,2.1024219526171e-12,7.60735959416071e-10,TRUE
166,3993599.32223343,0.0197592346108214,3.94654509859335e-11,3.94654509859335e-11,6.32366139084311e-15,7.60742283077461e-10,TRUE
167,3935245.28950554,0.0194705148545006,4.70903023764248e-10,4.70903023764248e-10,7.54541300255412e-14,7.60817737207487e-10,TRUE
168,3927019.95474288,0.0194298181530506,9.22668947401145e-10,9.22668947401145e-10,1.47841868101041e-13,7.60965579075588e-10,TRUE
169,3830646.8368122,0.0189529903859867,1.43713725657589e-10,1.43713725657589e-10,2.3027658764093e-14,7.60988606734352e-10,TRUE
170,3790137.80107649,0.0187525627826204,7.42809545545102e-11,7.42809545545102e-11,1.19022484896663e-14,7.61000508982842e-10,TRUE
171,3707683.23882516,0.0183446002133196,5.45534083110007e-10,5.45534083110007e-10,8.74124768010717e-14,7.61087921459643e-10,TRUE
172,3655956.19947462,0.0180886690034558,5.49258040611445e-10,5.49258040611445e-10,8.80091770967653e-14,7.6117593063674e-10,TRUE
173,3588705.75119185,0.0177559322219003,1.94797200148109e-08,1.94797200148109e-08,3.12129090849611e-12,7.64297221545236e-10,TRUE
174,3498215.69799908,0.0173082122463316,1.30876530073502e-08,1.30876530073502e-08,2.09707184263092e-12,7.66394293387867e-10,TRUE
175,3446381.6049799,0.0170517513642638,3.61023369810145e-09,3.61023369810145e-09,5.78478007428372e-13,7.66972771395295e-10,TRUE
176,3363784.67770371,0.016643084411849,3.57489571343079e-10,3.57489571343079e-10,5.72815701697425e-14,7.67030052965465e-10,TRUE
177,3319724.24196846,0.0164250854548928,7.61258869061499e-11,7.61258869061499e-11,1.21978672445347e-14,7.67042250832709e-10,TRUE
178,3290313.93022022,0.0162795712951283,1.09139388372966e-11,1.09139388372966e-11,1.74877144244556e-15,7.67043999604152e-10,TRUE
179,3256038.34586052,0.016109985100285,9.17479143217189e-10,9.17479143217189e-10,1.47010291024782e-13,7.67191009895177e-10,TRUE
180,3226702.90101391,0.0159648413614252,8.73680495130311e-10,8.73680495130311e-10,1.39992309145471e-13,7.67331002204322e-10,TRUE
181,3181554.13137168,0.0157414576266613,6.30939877031694e-09,6.30939877031694e-09,1.01097289924565e-12,7.68341975103568e-10,TRUE
182,3127341.08972271,0.0154732263589564,5.2335762188357e-10,5.2335762188357e-10,8.38590793828303e-14,7.6842583418295e-10,TRUE
183,3065379.44802753,0.0151666571424828,4.38301430921316e-09,4.38301430921316e-09,7.02302841352632e-13,7.69128137024303e-10,TRUE
184,3050830.53219353,0.0150946730954862,2.57520396943897e-09,2.57520396943897e-09,4.12632251963659e-13,7.69540769276267e-10,TRUE
185,3030134.41610031,0.0149922743868471,8.96332583528707e-10,8.96332583528707e-10,1.43621917657432e-13,7.69684391193924e-10,TRUE
186,3007930.9708204,0.0148824178266229,1.83472989245922e-08,1.83472989245922e-08,2.93983985833721e-12,7.72624231052262e-10,TRUE
187,2930180.29227741,0.0144977287843525,4.21364172171404e-09,4.21364172171404e-09,6.75163790221121e-13,7.73299394842483e-10,TRUE
188,2880276.98936213,0.0142508209223975,4.61044916666622e-11,4.61044916666622e-11,7.38745375039133e-15,7.73306782296233e-10,TRUE
189,2864367.67428294,0.0141721059928859,2.048915746716e-10,2.048915746716e-10,3.28303594078185e-14,7.73339612655641e-10,TRUE
190,2823423.23391907,0.0139695241267847,3.92373553969133e-11,3.92373553969133e-11,6.28711298625949e-15,7.73345899768627e-10,TRUE
191,2761449.86518565,0.0136628968881408,1.18365220784038e-08,1.18365220784038e-08,1.89659957758351e-12,7.75242499346211e-10,TRUE
192,2691054.28297776,0.0133145988461546,6.97737625306372e-12,6.97737625306372e-12,1.11800483001223e-15,7.75243617351041e-10,TRUE
193,2667030.98378506,0.0131957381476785,1.96609477001123e-09,1.96609477001123e-09,3.15032953564624e-13,7.75558650304605e-10,TRUE
194,2624375.90731342,0.0129846925230828,7.47870997826045e-09,7.47870997826045e-09,1.19833495782666e-12,7.76756985262432e-10,TRUE
195,2573790.8656598,0.0127344116047475,4.95057176537251e-09,4.95057176537251e-09,7.93244185818181e-13,7.7755022944825e-10,TRUE
196,2540723.22875372,0.0125708020027488,5.99582718405347e-10,5.99582718405347e-10,9.60728432660773e-14,7.77646302291516e-10,TRUE
197,2509000.42683798,0.0124138462755991,2.28943449271832e-11,2.28943449271832e-11,3.66842596417497e-15,7.7764997071748e-10,TRUE
198,2494005.2461865,0.0123396542326281,2.37075764886029e-11,2.37075764886029e-11,3.79873236884771e-15,7.77653769449849e-10,TRUE
199,2461140.70906253,0.012177049512672,1.35952353297793e-09,1.35952353297793e-09,2.17840320094135e-13,7.77871609769943e-10,TRUE
200,2415357.70878824,0.0119505277786135,2.75475256391332e-08,2.75475256391332e-08,4.41401833617807e-12,7.82285628106121e-10,TRUE
201,2406796.48178576,0.0119081691744449,3.70771817034679e-10,3.70771817034679e-10,5.94098221512947e-14,7.82345037928273e-10,TRUE
202,2403235.18859502,0.011890548872057,9.47638298098898e-10,9.47638298098898e-10,1.51842778137976e-13,7.82496880706411e-10,TRUE
203,2392570.45598512,0.0118377826988139,5.77587182949977e-10,5.77587182949977e-10,9.25484360984102e-14,7.82589429142509e-10,TRUE
