"dgp","method","n","b","truth","est","se"
"A","ipw",8000,32,0.843045749937839,0.845903250472177,0.00351966053102806
"A","fiml",8000,32,0.843045749937839,0.846474228316485,0.00346183998976244
"A","ipw",8000,33,0.843045749937839,0.850299671491812,0.00348588234660131
"A","fiml",8000,33,0.843045749937839,0.848113201294533,0.00365517246824059
"A","ipw",8000,34,0.843045749937839,0.842105393357133,0.00366469461256235
"A","fiml",8000,34,0.843045749937839,0.841432608541993,0.00370652198081979
"A","ipw",8000,35,0.843045749937839,0.841702029015568,0.00353002804330159
"A","fiml",8000,35,0.843045749937839,0.836969777737808,0.00364072007704907
"A","ipw",8000,36,0.843045749937839,0.844615814014369,0.00353938938765181
"A","fiml",8000,36,0.843045749937839,0.842388072860992,0.00431090504037644
"A","ipw",8000,37,0.843045749937839,0.845280867662988,0.00355366519212973
"A","fiml",8000,37,0.843045749937839,0.844183242604316,0.00364649470759396
"A","ipw",8000,38,0.843045749937839,0.84437808263641,0.00350935643027316
"A","fiml",8000,38,0.843045749937839,0.843969757176938,0.00371449708496031
"A","ipw",8000,39,0.843045749937839,0.846078892023584,0.00358996971538775
"A","fiml",8000,39,0.843045749937839,0.844041402596901,0.00355428765041191
"A","ipw",8000,40,0.843045749937839,0.841585971860749,0.00361153409503436
"A","fiml",8000,40,0.843045749937839,0.838379251923955,0.00405653022505484
"A","ipw",8000,41,0.843045749937839,0.837487747150176,0.00364465875949292
"A","fiml",8000,41,0.843045749937839,0.837170347576577,0.00357646749288981
"A","ipw",8000,42,0.843045749937839,0.842211612937984,0.00357377499569444
"A","fiml",8000,42,0.843045749937839,0.839774372952525,0.00385295261265365
"A","ipw",8000,43,0.843045749937839,0.84682903727483,0.00353238752996681
"A","fiml",8000,43,0.843045749937839,0.84348867923079,0.0039480589096954
"A","ipw",8000,44,0.843045749937839,0.845592869695791,0.00358609959847938
"A","fiml",8000,44,0.843045749937839,0.841307563482295,0.00385174000320806
"A","ipw",8000,45,0.843045749937839,0.839587055053358,0.00364748875210263
"A","fiml",8000,45,0.843045749937839,0.839044029549352,0.00372945795662437
"A","ipw",8000,46,0.843045749937839,0.847977251860079,0.0034785251811196
"A","fiml",8000,46,0.843045749937839,0.84388469799193,0.00361770694457077
"A","ipw",8000,47,0.843045749937839,0.844616403517225,0.0035214367259947
"A","fiml",8000,47,0.843045749937839,0.842871716629649,0.00349540493101489
"A","ipw",8000,48,0.843045749937839,0.837118353926378,0.00364672912451352
"A","fiml",8000,48,0.843045749937839,0.835345589970292,0.00369363632246526
"A","ipw",8000,49,0.843045749937839,0.844802259386988,0.00352715481507941
"A","fiml",8000,49,0.843045749937839,0.84362580183265,0.0035219306642029
"A","ipw",8000,50,0.843045749937839,0.842491185985564,0.0035834754865078
"A","fiml",8000,50,0.843045749937839,0.840270902662982,0.00402221870080071
"B","ipw",500,1,0.694887512467808,0.674002840980455,0.0329336155171183
"B","fiml",500,1,0.694887512467808,0.691481966279581,0.0324546825066758
"B","ipw",500,2,0.694887512467808,0.684170135749834,0.0319312397595233
"B","fiml",500,2,0.694887512467808,0.663418402026408,0.0289201169443391
"B","ipw",500,3,0.694887512467808,0.659793850540531,0.0292714009908384
"B","fiml",500,3,0.694887512467808,0.65453015391583,0.0294240162206519
"B","ipw",500,4,0.694887512467808,0.678953811824998,0.0289620855028241
"B","fiml",500,4,0.694887512467808,0.682599109454966,0.0265592391796552
"B","ipw",500,5,0.694887512467808,0.679653205846846,0.0274764030525535
"B","fiml",500,5,0.694887512467808,0.647526339030077,0.0276377585246421
"B","ipw",500,6,0.694887512467808,0.671575094048,0.0301146421338478
"B","fiml",500,6,0.694887512467808,0.64371638274948,0.0288479147443612
"B","ipw",500,7,0.694887512467808,0.699257835065624,0.0310693559423132
"B","fiml",500,7,0.694887512467808,0.699811455202667,0.0288874476282596
"B","ipw",500,8,0.694887512467808,0.696637408441723,0.0292866541747322
"B","fiml",500,8,0.694887512467808,0.679238697504823,0.0275967819827407
"B","ipw",500,9,0.694887512467808,0.632947139728101,0.0310078671395174
"B","fiml",500,9,0.694887512467808,0.632047606446936,0.0334585470473087
"B","ipw",500,10,0.694887512467808,0.726140506235444,0.0301777591330093
"B","fiml",500,10,0.694887512467808,0.718887228150675,0.0274163248584491
"B","ipw",500,11,0.694887512467808,0.748073193938695,0.0309393945550788
"B","fiml",500,11,0.694887512467808,0.750376357021454,0.0264449093339813
"B","ipw",500,12,0.694887512467808,0.645666233894125,0.0330144404033177
"B","fiml",500,12,0.694887512467808,0.634278794529196,0.030188248084895
"B","ipw",500,13,0.694887512467808,0.710482259337383,0.0302036685685322
"B","fiml",500,13,0.694887512467808,0.689266457773118,0.0286506859724702
"B","ipw",500,14,0.694887512467808,0.722674277767245,0.0293522100881567
"B","fiml",500,14,0.694887512467808,0.70988637164515,0.03274445340871
"B","ipw",500,15,0.694887512467808,0.672981894279292,0.0317123803176705
"B","fiml",500,15,0.694887512467808,0.674322291152928,0.0305836555633299
"B","ipw",500,16,0.694887512467808,0.672038804177268,0.0307947169266782
"B","fiml",500,16,0.694887512467808,0.667225735188969,0.0311150118513111
"B","ipw",500,17,0.694887512467808,0.727627991516849,0.0297396207465993
"B","fiml",500,17,0.694887512467808,0.709697307909497,0.027578939360002
"B","ipw",500,18,0.694887512467808,0.708908000416923,0.0279126818012675
"B","fiml",500,18,0.694887512467808,0.678254996648624,0.0281875986418372
"B","ipw",500,19,0.694887512467808,0.679315781392527,0.0292040469692578
"B","fiml",500,19,0.694887512467808,0.65572664712112,0.0319239264917882
"B","ipw",500,20,0.694887512467808,0.72851032804403,0.0319543585932109
"B","fiml",500,20,0.694887512467808,0.748530354684108,0.0302673791155309
"B","ipw",500,21,0.694887512467808,0.701574815791883,0.0291393727193178
"B","fiml",500,21,0.694887512467808,0.680230991810665,0.0377847856727346
"B","ipw",500,22,0.694887512467808,0.699725377859813,0.0338326455444322
"B","fiml",500,22,0.694887512467808,0.712899368976161,0.0273426446623445
"B","ipw",500,23,0.694887512467808,0.608825564806979,0.0342509079291597
"B","fiml",500,23,0.694887512467808,0.646285118605855,0.0289643295125299
"B","ipw",500,24,0.694887512467808,0.666741299463029,0.033930739443526
"B","fiml",500,24,0.694887512467808,0.682932040556456,0.0303207410592743
"B","ipw",500,25,0.694887512467808,0.656440904879286,0.0295841340389662
"B","fiml",500,25,0.694887512467808,0.65749339287446,0.0278067115688398
"B","ipw",500,26,0.694887512467808,0.716997550998086,0.0285539343006246
"B","fiml",500,26,0.694887512467808,0.70278254382482,0.0273394017594818
"B","ipw",500,27,0.694887512467808,0.709663613982518,0.0300826564581536
"B","fiml",500,27,0.694887512467808,0.728681594196549,0.026958045238715
"B","ipw",500,28,0.694887512467808,0.707977190235362,0.029136631693216
