"profile","profile_label","C","R","patterns","mechanism","n","method","reps","n_valid","n_finite_se","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","min_pair_count_min","min_observed_categories","max_psi_vcov_abs_error"
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",1000,"fiml",200,200,200,0,0.853987551538603,0.845889109042611,-0.00809844249599212,0.00783735666024665,0.000554184804103796,0.011256189829765,0.00892750830030808,1.13909685207909,0.905,-0.857915526652159,0.834204043504704,628.514999999995,608.499999999935,0.780196666666667,549,5,4.88839654519402e-17
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,"available",200,200,200,0,0.825352712419042,0.826316203568541,0.000963491149499139,0.0165180497799723,0.00116800250113954,0.0165048494051336,0.0179787744647034,1.08843203066879,0.965,0.143377259098445,0.945306714869314,0.0900000000000001,0,1,250,3,3.36102673470506e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",250,"fiml",200,200,200,0,0.825352712419042,0.826316203568541,0.000963491149498752,0.0165180497799723,0.00116800250113954,0.0165048494051336,0.0179787744647034,1.08843203066879,0.965,0.143377259098423,0.945306714869312,0.574999999999999,1,1,250,3,2.27682456221956e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",1000,"available",200,200,200,0,0.825352712419042,0.825095085934213,-0.000257626484829036,0.00838279920579314,0.000592753416374153,0.00836578372405767,0.0090685039388064,1.08179901679374,0.97,0.0152941459255018,0.918160175233686,0.314999999999999,0,1,1000,3,1.39591029707509e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",1000,"fiml",200,200,200,0,0.825352712419042,0.825095085934214,-0.000257626484827959,0.00838279920579325,0.000592753416374161,0.00836578372405774,0.00906850393880636,1.08179901679373,0.97,0.015294145925622,0.91816017523371,1.30499999999999,1.00000000000011,1,1000,3,1.02999206386123e-18
"tiny3x4","C = 3, R = 4",3,4,81,"complete",4000,"available",200,200,200,0,0.825352712419042,0.825728337924697,0.000375625505655303,0.00437684120239201,0.000309489409438807,0.00438201434695282,0.00451605339217097,1.03180654342746,0.95,0.107625844936107,0.974644446284007,0.850000000000012,0.99999999999989,1,4000,3,7.45388993583784e-19
"tiny3x4","C = 3, R = 4",3,4,81,"complete",4000,"fiml",200,200,200,0,0.825352712419042,0.825728337924697,0.000375625505655382,0.0043768412023917,0.000309489409438785,0.00438201434695252,0.00451605339217097,1.03180654342753,0.95,0.10762584493612,0.974644446283931,2.52499999999998,2.99999999999967,1,4000,3,5.99699326656045e-19
"tiny3x4","C = 3, R = 4",3,4,81,"mar",250,"available",200,200,200,0,0.825352712419042,0.785921792464603,-0.0394309199544383,0.0265358635047792,0.001876368902887,0.0474913543725368,0.0272789792120858,1.02800420296,0.765,-1.37055782548293,0.839146999733679,0.134999999999987,0,0.707885,72,3,4.77048955893622e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mar",250,"fiml",200,200,200,0,0.825352712419042,0.822197564875093,-0.00315514754394908,0.0255729456382094,0.00180828032756928,0.0257033193750501,0.0264299950959234,1.03351391231339,0.965,0.0150047135337864,0.952288856819333,1.14499999999999,1.00000000000033,0.707885,72,3,2.33060098997484e-15
"tiny3x4","C = 3, R = 4",3,4,81,"mar",1000,"available",200,200,200,0,0.825352712419042,0.787920622104728,-0.0374320903143137,0.0136798134010021,0.000967308882121518,0.039841724278848,0.0135258332111414,0.988743984632903,0.205,-2.72484550948446,0.86448943192216,0.339999999999989,0,0.70893625,347,3,1.73472347597681e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mar",1000,"fiml",200,200,200,0,0.825352712419042,0.824294945267252,-0.00105776715178977,0.0115588482319858,0.00081733399675433,0.0115783335992377,0.0126543006979874,1.09477176653036,0.96,-0.0289540512277206,0.910630021034233,1.74000000000003,1.99999999999978,0.70893625,347,3,5.57279916657549e-17
"tiny3x4","C = 3, R = 4",3,4,81,"mar",4000,"available",200,200,200,0,0.825352712419042,0.789766765985746,-0.0355859464332953,0.00719415879730188,0.000508703847050502,0.0363022964115241,0.00674055413579358,0.936948200020491,0,-5.25183755797525,0.898309875610612,1.21499999999997,1.00000000000033,0.7085128125,1475,3,1.00288700954909e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mar",4000,"fiml",200,200,200,0,0.825352712419042,0.82556838539007,0.000215672971028187,0.00602693998980134,0.000426169013659291,0.00601572110747293,0.00591932055849013,0.982143603305605,0.95,0.0760046937554183,1.00370959095871,3.30500000000002,3.00000000000011,0.7085128125,1475,3,1.28749007982654e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",250,"available",200,200,200,0,0.825352712419042,0.823629019486191,-0.00172369293285105,0.0224176730572908,0.00158516886372333,0.0224278938445817,0.0222742204522224,0.993600914568526,0.95,0.0341135674717273,1.00777006453498,0.139999999999998,0,0.78086,127,3,2.60208521396521e-18
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",250,"fiml",200,200,200,0,0.825352712419042,0.823634172060329,-0.00171854035871267,0.0205186238944008,0.00145088580963471,0.0205392852322519,0.0211341111079928,1.02999651520295,0.95,0.0353219329085406,0.985937161769407,0.959999999999994,0.99999999999989,0.78086,127,3,9.26992857475106e-17
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",1000,"available",200,200,200,0,0.825352712419042,0.825453868091229,0.0001011556721877,0.0113560270795214,0.000802992375526764,0.0113280530871675,0.0110792964464281,0.975631386649972,0.965,0.0737487469960223,1.0319989355069,0.32,0,0.77984625,559,3,8.67361737988404e-19
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",1000,"fiml",200,200,200,0,0.825352712419042,0.825383532839622,3.08204205805623e-05,0.0107101076430705,0.000757318974165305,0.0106833432780124,0.0103159686039474,0.963199339142201,0.935,0.070662217564134,1.04198091242692,2.01499999999997,1.99999999999978,0.77984625,559,3,8.67361737988404e-19
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",4000,"available",200,200,200,0,0.825352712419042,0.825216455798552,-0.000136256620489503,0.00492438585607984,0.000348206663201317,0.00491394892585266,0.0055405763284549,1.12513042039837,0.965,-0.000486605220621892,0.886739815516708,1.13999999999999,1.00000000000033,0.7802175,2344,3,4.94667241196511e-19
"tiny3x4","C = 3, R = 4",3,4,81,"mcar",4000,"fiml",200,200,200,0,0.825352712419042,0.825326486788267,-2.62256307751008e-05,0.00492155499556241,0.000348006491134471,0.0049093057391227,0.00516700817176378,1.04987309426039,0.965,0.0224246730404593,0.949259584193254,3.58000000000002,3.99999999999956,0.7802175,2344,3,5.14996031930615e-19
