"mechanism","replicate","n","estimator","coefficient","estimate","truth","bias","observed_fraction","mean_observed_raters","zero_observed_fraction","error"
"m1_rater_mcar",16,500,"counts_fiml","Brennan-Prediger",0.747805453820446,0.656030112,0.0917753418204457,0.6188,3.094,0,""
"m1_rater_mcar",16,500,"raw_fiml","Fleiss",0.648200413918744,0.652494739899285,-0.00429432598054058,0.6188,3.094,0,""
"m1_rater_mcar",16,500,"raw_fiml","Brennan-Prediger",0.650174031489593,0.656030112,-0.00585608051040709,0.6188,3.094,0,""
"m1_rater_mcar",16,500,"raw_ipw","Fleiss",0.671072642999645,0.652494739899285,0.0185779031003597,0.6188,3.094,0,""
"m1_rater_mcar",16,500,"raw_ipw","Brennan-Prediger",0.672990519115588,0.656030112,0.0169604071155884,0.6188,3.094,0,""
"m1_rater_mcar",17,500,"counts_fiml","Fleiss",0.729247823138573,0.652494739899285,0.0767530832392882,0.6068,3.034,0,""
"m1_rater_mcar",17,500,"counts_fiml","Brennan-Prediger",0.73317320622841,0.656030112,0.0771430942284099,0.6068,3.034,0,""
"m1_rater_mcar",17,500,"raw_fiml","Fleiss",0.61822690743506,0.652494739899285,-0.0342678324642252,0.6068,3.034,0,""
"m1_rater_mcar",17,500,"raw_fiml","Brennan-Prediger",0.623570609187585,0.656030112,-0.0324595028124148,0.6068,3.034,0,""
"m1_rater_mcar",17,500,"raw_ipw","Fleiss",0.616273535454606,0.652494739899285,-0.036221204444679,0.6068,3.034,0,""
"m1_rater_mcar",17,500,"raw_ipw","Brennan-Prediger",0.621475883427701,0.656030112,-0.0345542285722995,0.6068,3.034,0,""
"m1_rater_mcar",18,500,"counts_fiml","Fleiss",0.743799453473427,0.652494739899285,0.0913047135741418,0.6176,3.088,0.002,""
"m1_rater_mcar",18,500,"counts_fiml","Brennan-Prediger",0.747135318961195,0.656030112,0.0911052069611951,0.6176,3.088,0.002,""
"m1_rater_mcar",18,500,"raw_fiml","Fleiss",0.621923287426977,0.652494739899285,-0.0305714524723082,0.6176,3.088,0.002,""
